target.x;target.y;delta.x;delta.y
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-19
640;512;-237;-18
640;512;-235;-17
640;512;-234;-18
640;512;-237;-20
640;512;-241;-19
640;512;-240;-19
640;512;-236;-20
640;512;-235;-19
640;512;-236;-18
640;512;-237;-18
640;512;-237;-19
640;512;-237;-19
640;512;-239;-19
640;512;-241;-19
640;512;-241;-17
640;512;-240;-16
640;512;-239;-16
640;512;-239;-16
640;512;-242;-15
640;512;-241;-15
640;512;-235;-15
640;512;-230;-15
640;512;-232;-15
640;512;-237;-14
640;512;-238;-14
640;512;-235;-15
640;512;-234;-15
640;512;-235;-13
640;512;-234;-13
640;512;-231;-14
640;512;-231;-14
640;512;-233;-13
640;512;-233;-14
640;512;-230;-14
640;512;-228;-13
640;512;-228;-12
640;512;-230;-12
640;512;-232;-11
640;512;-233;-11
640;512;-233;-10
640;512;-230;-9
640;512;-227;-10
640;512;-226;-9
640;512;-228;-10
640;512;-230;-11
640;512;-230;-11
640;512;-230;-9
640;512;-227;-9
640;512;-226;-9
640;512;-229;-9
640;512;-231;-9
640;512;-229;-10
640;512;-226;-10
640;512;-223;-10
640;512;-222;-9
640;512;-223;-9
640;512;-224;-9
640;512;-223;-9
640;512;-221;-9
640;512;-218;-8
640;512;-215;-8
640;512;-214;-8
640;512;-213;-8
640;512;-213;-7
640;512;-212;-7
640;512;-210;-6
640;512;-208;-5
640;512;-206;-4
640;512;-204;-4
640;512;-204;-4
640;512;-203;-3
640;512;-201;-3
640;512;-199;-2
640;512;-197;-2
640;512;-194;-1
640;512;-191;-1
640;512;-189;-1
640;512;-186;-1
640;512;-182;-1
640;512;-179;0
