target.x;target.y;delta.x;delta.y
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;22
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;22
640;512;-580;22
640;512;-579;22
640;512;-579;22
640;512;-579;22
640;512;-579;22
640;512;-580;22
640;512;-580;22
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-580;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
640;512;-579;23
