target.x;target.y;delta.x;delta.y
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-571;23
640;512;-567;21
640;512;-546;16
640;512;-526;17
640;512;-525;24
640;512;-527;31
640;512;-527;25
640;512;-535;14
640;512;-547;18
640;512;-547;21
640;512;-534;17
640;512;-525;21
640;512;-529;26
640;512;-537;23
640;512;-540;16
640;512;-541;17
640;512;-540;21
640;512;-533;20
640;512;-521;21
640;512;-513;22
640;512;-509;19
640;512;-500;21
640;512;-485;27
640;512;-475;28
640;512;-479;26
640;512;-494;25
640;512;-502;22
640;512;-496;20
640;512;-489;23
640;512;-487;26
640;512;-487;27
640;512;-489;25
640;512;-492;22
640;512;-497;19
640;512;-499;22
640;512;-489;29
640;512;-475;27
640;512;-473;25
640;512;-483;25
640;512;-482;23
640;512;-461;23
640;512;-438;26
640;512;-431;36
640;512;-438;38
640;512;-448;29
640;512;-458;23
640;512;-464;25
640;512;-456;27
640;512;-444;28
640;512;-441;32
640;512;-446;33
640;512;-452;30
640;512;-455;25
640;512;-454;25
640;512;-447;31
640;512;-430;32
640;512;-413;32
640;512;-402;37
640;512;-392;45
640;512;-379;49
640;512;-377;45
640;512;-391;42
640;512;-408;40
640;512;-409;37
640;512;-398;37
640;512;-389;43
640;512;-387;47
640;512;-389;44
640;512;-395;41
640;512;-402;38
640;512;-405;34
640;512;-399;41
640;512;-381;49
640;512;-366;46
640;512;-369;47
640;512;-377;48
640;512;-367;44
640;512;-342;43
640;512;-314;58
640;512;-311;58
640;512;-339;49
640;512;-364;52
640;512;-356;48
640;512;-337;42
640;512;-332;53
640;512;-336;59
640;512;-336;55
640;512;-336;50
640;512;-344;45
640;512;-350;50
640;512;-338;52
640;512;-313;49
640;512;-296;58
640;512;-285;68
640;512;-272;66
640;512;-278;53
640;512;-307;47
640;512;-323;51
640;512;-307;49
640;512;-284;51
640;512;-275;66
640;512;-278;68
640;512;-288;58
640;512;-298;53
640;512;-302;53
640;512;-299;48
640;512;-296;52
640;512;-286;66
640;512;-272;61
640;512;-267;57
640;512;-269;64
640;512;-257;62
640;512;-232;54
640;512;-218;62
640;512;-225;66
640;512;-238;66
640;512;-237;65
640;512;-234;54
640;512;-240;61
640;512;-237;77
640;512;-219;68
640;512;-222;58
640;512;-249;63
640;512;-257;66
640;512;-241;53
640;512;-228;56
640;512;-220;70
640;512;-204;72
640;512;-182;72
640;512;-172;68
640;512;-185;66
640;512;-200;72
640;512;-189;75
640;512;-168;69
640;512;-173;67
640;512;-199;69
640;512;-212;68
640;512;-203;69
640;512;-191;62
640;512;-193;68
640;512;-203;72
640;512;-201;65
640;512;-184;68
640;512;-161;74
640;512;-146;75
640;512;-136;77
640;512;-124;81
640;512;-115;83
640;512;-115;80
640;512;-122;84
640;512;-129;79
640;512;-140;77
640;512;-152;76
640;512;-152;70
640;512;-151;68
640;512;-141;80
640;512;-126;85
640;512;-124;79
640;512;-140;73
640;512;-145;79
640;512;-123;83
640;512;-97;74
640;512;-89;77
640;512;-87;90
640;512;-69;90
640;512;-49;81
640;512;-55;85
640;512;-73;89
640;512;-73;85
640;512;-66;79
640;512;-73;81
640;512;-90;86
640;512;-92;80
640;512;-83;75
640;512;-79;80
640;512;-80;85
640;512;-75;91
640;512;-57;88
640;512;-49;89
640;512;-61;87
640;512;-72;82
640;512;-57;83
640;512;-25;83
640;512;-1;87
640;512;5;99
640;512;-6;99
640;512;-30;77
640;512;-52;72
640;512;-49;83
640;512;-22;81
640;512;-5;82
640;512;-13;92
640;512;-30;86
640;512;-34;80
640;512;-16;87
