target.x;target.y;delta.x;delta.y
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;255;54
640;512;256;54
640;512;256;54
640;512;256;55
640;512;255;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;55
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;256;54
640;512;255;55
640;512;256;55
640;512;256;54
640;512;255;55
640;512;255;54
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;54
640;512;255;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;255;54
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;54
640;512;255;55
640;512;255;54
640;512;256;54
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;255;54
640;512;255;55
640;512;256;55
640;512;256;54
640;512;255;55
640;512;256;55
640;512;256;54
640;512;255;55
640;512;255;54
640;512;255;54
640;512;256;55
640;512;256;54
640;512;255;55
640;512;255;55
640;512;256;54
640;512;255;55
640;512;255;55
640;512;255;54
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;256;54
640;512;256;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;55
640;512;256;54
640;512;255;54
640;512;256;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;54
640;512;256;54
640;512;256;54
640;512;255;55
640;512;256;54
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;255;55
640;512;256;55
640;512;256;54
640;512;256;55
640;512;255;55
640;512;256;54
640;512;256;54
640;512;255;54
640;512;255;54
640;512;255;55
640;512;255;55
640;512;255;54
640;512;255;55
640;512;255;54
640;512;254;54
640;512;254;53
640;512;255;54
640;512;258;53
640;512;258;53
640;512;257;54
640;512;256;53
640;512;255;53
640;512;252;53
640;512;250;53
640;512;249;53
640;512;251;54
640;512;253;54
640;512;254;54
640;512;254;55
640;512;255;54
640;512;255;55
640;512;256;55
640;512;256;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;255;55
640;512;254;55
640;512;253;55
640;512;251;55
640;512;250;55
640;512;250;55
640;512;252;55
640;512;250;56
640;512;247;56
640;512;249;55
640;512;250;54
640;512;249;54
640;512;249;55
640;512;251;54
640;512;251;55
640;512;249;54
640;512;244;53
640;512;243;53
640;512;248;53
640;512;255;54
640;512;256;55
640;512;251;54
640;512;244;53
640;512;242;52
640;512;247;51
640;512;255;51
640;512;259;51
640;512;261;52
640;512;264;52
640;512;265;51
640;512;261;50
640;512;256;49
640;512;257;46
640;512;265;44
640;512;280;42
640;512;295;32
640;512;285;21
640;512;238;20
640;512;188;26
640;512;186;27
640;512;229;10
640;512;253;13
640;512;239;33
640;512;234;40
640;512;248;43
640;512;253;51
640;512;239;52
640;512;219;48
640;512;214;52
640;512;232;58
640;512;254;61
640;512;261;61
640;512;253;57
640;512;245;50
640;512;249;42
640;512;262;37
640;512;274;34
640;512;271;22
640;512;251;13
640;512;228;19
640;512;213;26
640;512;205;24
640;512;189;25
640;512;174;34
640;512;178;38
640;512;190;42
640;512;197;50
640;512;205;56
640;512;215;57
640;512;223;57
640;512;227;58
640;512;231;57
640;512;234;57
640;512;236;59
640;512;242;57
640;512;251;51
640;512;253;47
640;512;253;45
640;512;259;36
640;512;267;22
640;512;258;12
640;512;225;17
640;512;194;21
640;512;188;15
640;512;194;14
640;512;196;20
640;512;206;27
640;512;229;34
640;512;249;42
640;512;254;47
640;512;251;48
640;512;253;49
640;512;262;51
640;512;272;52
640;512;279;53
640;512;279;55
640;512;273;55
640;512;267;50
640;512;261;44
640;512;251;42
640;512;241;38
640;512;232;28
640;512;228;11
640;512;218;4
640;512;176;18
640;512;139;22
640;512;130;16
640;512;140;18
640;512;157;26
640;512;181;30
640;512;207;37
640;512;230;46
640;512;245;50
640;512;250;51
640;512;254;51
640;512;261;51
640;512;265;54
640;512;266;57
640;512;264;57
640;512;261;56
640;512;260;53
640;512;263;50
640;512;263;48
640;512;264;44
640;512;264;38
640;512;252;28
640;512;229;15
640;512;205;7
640;512;173;16
640;512;154;14
640;512;146;12
640;512;144;23
640;512;158;31
640;512;184;36
640;512;199;47
640;512;205;55
640;512;214;55
640;512;224;56
640;512;235;57
640;512;243;57
640;512;251;59
640;512;258;60
640;512;262;59
640;512;262;61
640;512;259;60
640;512;255;56
640;512;247;52
640;512;241;46
640;512;247;36
640;512;252;22
640;512;239;12
640;512;198;17
640;512;137;30
640;512;105;22
640;512;113;12
640;512;130;23
640;512;155;35
640;512;183;43
640;512;199;55
640;512;211;61
640;512;225;59
640;512;238;58
640;512;251;59
640;512;261;63
640;512;266;66
640;512;267;65
640;512;263;62
640;512;250;61
640;512;241;56
640;512;244;50
640;512;251;46
640;512;248;38
640;512;244;23
640;512;246;11
640;512;242;13
640;512;221;25
640;512;206;27
640;512;199;23
640;512;190;29
640;512;195;35
640;512;216;41
640;512;233;53
640;512;238;60
640;512;239;62
640;512;242;62
640;512;256;58
640;512;272;56
640;512;283;60
640;512;290;64
640;512;294;64
640;512;289;60
640;512;273;58
640;512;259;54
640;512;255;49
640;512;252;45
640;512;234;40
640;512;212;30
640;512;205;16
640;512;196;12
640;512;170;21
640;512;151;25
640;512;155;25
640;512;172;32
640;512;191;38
640;512;205;44
640;512;216;53
640;512;230;59
640;512;244;61
640;512;256;61
640;512;268;60
640;512;283;60
640;512;292;61
640;512;291;61
640;512;284;60
640;512;282;58
640;512;285;54
640;512;285;53
640;512;279;52
640;512;276;46
640;512;270;35
640;512;248;22
640;512;223;13
640;512;212;11
640;512;206;18
640;512;194;20
640;512;182;21
640;512;181;29
640;512;198;36
640;512;222;41
640;512;232;51
640;512;235;58
640;512;245;60
640;512;257;59
640;512;271;57
640;512;280;60
640;512;282;65
640;512;282;64
640;512;279;61
640;512;274;59
640;512;271;55
640;512;270;51
640;512;272;45
640;512;270;36
640;512;260;24
640;512;244;16
640;512;224;13
640;512;208;17
640;512;193;25
640;512;190;27
640;512;200;31
640;512;221;39
640;512;245;46
640;512;263;51
640;512;274;57
640;512;284;59
640;512;297;58
640;512;301;61
640;512;299;61
640;512;298;60
640;512;296;62
640;512;290;62
640;512;284;58
640;512;278;55
640;512;275;49
640;512;268;43
640;512;253;35
640;512;245;21
640;512;246;11
640;512;240;15
640;512;230;20
640;512;223;21
640;512;224;24
640;512;231;31
640;512;245;39
640;512;260;47
640;512;270;53
640;512;271;58
640;512;272;63
640;512;276;66
640;512;281;66
640;512;286;63
640;512;284;64
640;512;274;66
640;512;268;64
640;512;271;61
640;512;272;57
640;512;262;49
640;512;247;40
640;512;242;27
640;512;251;14
640;512;249;9
640;512;221;15
640;512;193;23
640;512;195;26
640;512;225;31
640;512;255;39
640;512;272;44
640;512;274;51
640;512;276;58
640;512;287;60
640;512;298;62
640;512;300;65
640;512;295;68
640;512;286;68
640;512;276;66
640;512;271;62
640;512;273;61
640;512;277;61
640;512;277;58
640;512;270;47
640;512;255;35
640;512;237;21
640;512;229;9
640;512;232;10
640;512;237;18
640;512;235;21
640;512;234;27
640;512;246;35
640;512;269;42
640;512;283;49
640;512;280;57
640;512;277;62
640;512;282;64
640;512;290;64
640;512;292;65
640;512;292;66
640;512;295;66
640;512;294;64
640;512;281;64
640;512;269;61
640;512;269;55
640;512;267;47
640;512;255;31
640;512;248;11
640;512;239;8
640;512;215;26
640;512;206;32
640;512;211;27
640;512;205;32
640;512;205;37
640;512;227;39
640;512;253;46
640;512;270;56
640;512;285;63
640;512;304;67
640;512;324;67
640;512;334;65
640;512;331;65
640;512;324;67
640;512;318;65
640;512;308;64
640;512;303;61
640;512;304;58
640;512;299;56
640;512;277;49
640;512;246;37
640;512;217;27
640;512;190;25
640;512;171;22
640;512;158;20
640;512;152;26
640;512;163;33
640;512;194;38
640;512;232;46
640;512;264;53
640;512;283;56
640;512;290;61
640;512;299;63
640;512;319;62
640;512;336;62
640;512;335;66
640;512;322;67
640;512;314;63
640;512;311;61
640;512;307;60
640;512;305;58
640;512;306;48
640;512;294;32
640;512;270;19
640;512;242;15
640;512;213;19
640;512;193;22
640;512;180;24
640;512;178;32
640;512;198;40
640;512;227;47
640;512;242;56
640;512;238;63
640;512;230;67
640;512;231;69
640;512;236;69
640;512;238;65
640;512;234;66
640;512;230;70
640;512;223;71
640;512;208;72
640;512;191;67
640;512;178;62
640;512;166;59
640;512;157;53
640;512;149;42
640;512;146;30
640;512;130;27
640;512;90;30
640;512;49;27
640;512;39;20
640;512;55;21
640;512;82;28
640;512;104;38
640;512;114;52
640;512;112;60
640;512;103;63
640;512;89;65
640;512;80;65
640;512;80;65
640;512;90;68
640;512;100;72
640;512;100;75
640;512;85;75
640;512;62;72
640;512;48;67
640;512;43;60
640;512;38;55
640;512;39;49
640;512;51;40
640;512;69;28
640;512;65;26
640;512;33;31
640;512;-5;28
640;512;-40;28
640;512;-55;32
640;512;-37;36
640;512;-6;46
640;512;14;59
640;512;20;67
640;512;18;70
640;512;19;70
640;512;16;68
640;512;7;68
640;512;4;71
640;512;14;72
640;512;25;73
640;512;21;74
640;512;10;71
640;512;2;61
640;512;-2;49
640;512;-1;39
640;512;10;23
640;512;18;1
640;512;2;-15
640;512;-32;-13
640;512;-48;-7
640;512;-40;-2
640;512;-31;7
640;512;-28;15
640;512;-18;19
640;512;2;21
640;512;15;26
640;512;17;31
640;512;19;31
640;512;25;34
640;512;27;37
640;512;23;37
640;512;14;38
640;512;5;38
640;512;-1;38
640;512;-4;37
640;512;-3;34
640;512;-4;28
640;512;-8;21
640;512;-11;12
640;512;-12;1
640;512;-12;-14
640;512;-20;-22
640;512;-34;-17
640;512;-40;-8
640;512;-33;-1
640;512;-20;9
640;512;-11;18
640;512;-7;23
640;512;-6;29
640;512;-3;36
640;512;8;39
640;512;20;37
640;512;19;38
640;512;11;41
640;512;6;39
640;512;3;36
640;512;0;35
640;512;-6;35
640;512;-11;32
640;512;-15;27
640;512;-21;19
640;512;-18;5
640;512;-15;-7
640;512;-29;-10
640;512;-51;-12
640;512;-68;-11
640;512;-60;-7
640;512;-17;-7
640;512;15;1
640;512;14;14
640;512;9;21
640;512;13;26
640;512;17;32
640;512;14;35
640;512;8;37
640;512;12;37
640;512;23;36
640;512;30;38
640;512;30;41
640;512;28;41
640;512;24;39
640;512;20;34
640;512;18;30
640;512;21;27
640;512;24;22
640;512;27;8
640;512;37;-11
640;512;32;-14
640;512;9;-11
640;512;-13;-14
640;512;-24;-13
640;512;-8;-3
640;512;26;4
640;512;46;11
640;512;42;19
640;512;37;25
640;512;46;31
640;512;61;34
640;512;66;36
640;512;63;38
640;512;62;40
640;512;62;42
640;512;56;42
640;512;44;39
640;512;35;35
640;512;36;32
640;512;41;27
640;512;35;24
640;512;22;15
640;512;23;-6
640;512;26;-20
640;512;3;-16
640;512;-24;-16
640;512;-35;-18
640;512;-37;-6
640;512;-22;6
640;512;-3;13
640;512;1;22
640;512;-3;29
640;512;-1;31
640;512;10;34
640;512;25;36
640;512;33;40
640;512;34;41
640;512;36;42
640;512;38;41
640;512;38;41
640;512;31;40
640;512;19;39
640;512;11;34
640;512;7;24
640;512;-2;8
640;512;-9;-12
640;512;-8;-33
640;512;-18;-43
640;512;-39;-42
640;512;-52;-44
640;512;-47;-44
640;512;-32;-38
640;512;-15;-33
640;512;-2;-29
640;512;7;-22
640;512;18;-15
640;512;31;-13
640;512;42;-12
640;512;45;-11
640;512;49;-10
640;512;55;-8
640;512;58;-7
640;512;52;-8
640;512;42;-10
640;512;39;-13
640;512;41;-16
640;512;38;-20
640;512;33;-23
640;512;28;-33
640;512;21;-45
640;512;4;-51
640;512;-27;-55
640;512;-58;-59
640;512;-73;-56
640;512;-67;-46
640;512;-43;-41
640;512;-19;-33
640;512;0;-24
640;512;12;-21
640;512;13;-19
640;512;11;-15
640;512;20;-15
640;512;34;-13
640;512;43;-8
640;512;49;-8
640;512;55;-10
640;512;58;-8
640;512;57;-7
640;512;51;-11
640;512;43;-18
640;512;34;-24
640;512;28;-32
640;512;32;-46
640;512;46;-56
640;512;46;-56
640;512;13;-50
640;512;-22;-47
640;512;-29;-48
640;512;-9;-45
640;512;13;-38
640;512;27;-31
640;512;37;-22
640;512;46;-15
640;512;52;-12
640;512;47;-11
640;512;34;-14
640;512;28;-15
640;512;33;-14
640;512;47;-13
640;512;63;-13
640;512;69;-14
640;512;66;-17
640;512;62;-20
640;512;62;-23
640;512;58;-29
640;512;47;-36
640;512;33;-49
640;512;21;-62
640;512;-8;-66
640;512;-36;-60
640;512;-29;-58
640;512;-2;-54
640;512;6;-44
640;512;1;-35
640;512;9;-30
640;512;27;-24
640;512;34;-18
640;512;31;-14
640;512;31;-14
640;512;42;-15
640;512;54;-14
640;512;65;-13
640;512;75;-12
640;512;80;-10
640;512;73;-11
640;512;60;-14
640;512;55;-20
640;512;64;-28
640;512;73;-33
640;512;76;-39
640;512;80;-51
640;512;73;-63
640;512;20;-58
640;512;-50;-49
640;512;-61;-55
640;512;-19;-57
640;512;24;-45
640;512;43;-35
640;512;51;-26
640;512;66;-19
640;512;79;-17
640;512;68;-16
640;512;45;-15
640;512;36;-14
640;512;46;-8
640;512;57;1
640;512;61;8
640;512;60;13
640;512;63;18
640;512;67;15
640;512;67;12
640;512;67;10
640;512;75;4
640;512;74;-9
640;512;58;-30
640;512;47;-44
640;512;31;-40
640;512;9;-31
640;512;7;-36
640;512;13;-34
640;512;20;-19
640;512;46;-10
640;512;69;-6
640;512;62;5
640;512;43;12
640;512;34;15
640;512;38;17
640;512;43;19
640;512;44;20
640;512;45;22
640;512;50;22
640;512;54;20
640;512;52;17
640;512;48;15
640;512;46;14
640;512;46;11
640;512;41;1
640;512;31;-17
640;512;19;-26
640;512;11;-21
640;512;19;-16
640;512;20;-16
640;512;-5;-18
640;512;-35;-17
640;512;-26;-16
640;512;18;-11
640;512;53;1
640;512;63;12
640;512;66;18
640;512;74;19
