target.x;target.y;delta.x;delta.y
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;13
640;512;8;13
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;14
640;512;8;13
640;512;7;14
640;512;5;14
640;512;4;13
640;512;5;13
640;512;7;13
640;512;10;13
640;512;10;14
640;512;8;15
640;512;8;13
640;512;9;13
640;512;7;13
640;512;6;13
640;512;7;14
640;512;8;14
640;512;6;13
640;512;3;14
640;512;4;13
640;512;5;12
640;512;4;13
640;512;4;13
640;512;7;13
640;512;9;14
640;512;8;13
640;512;5;14
640;512;6;14
640;512;9;13
640;512;10;14
640;512;8;14
640;512;8;14
640;512;9;14
640;512;8;13
640;512;7;13
640;512;7;14
640;512;9;13
640;512;9;14
640;512;8;14
640;512;9;14
640;512;11;15
640;512;12;15
640;512;12;15
640;512;10;15
640;512;11;15
640;512;11;15
640;512;12;16
640;512;14;16
640;512;16;17
640;512;13;18
640;512;8;18
640;512;5;19
640;512;5;19
640;512;5;18
640;512;2;22
640;512;1;23
640;512;1;22
640;512;-1;25
