target.x;target.y;delta.x;delta.y
450;450;-19.6198;30.4999
450;450;-8.27011;8.68659
450;450;-3.50188;0.29677
450;450;-7.06498;6.70877
450;450;1.13198;14.4179
450;450;4.0406;-1.12899
450;450;35.3599;3.80342
450;450;20.0122;7.4823
450;450;-1.89807;29.6574
450;450;-4.99595;10.7651
450;450;-17.0273;1.54254
450;450;-7.17591;6.76078
450;450;-7.77255;3.08529
450;450;-0.770281;0.237009
450;450;0.892133;5.3528
450;450;16.8321;-5.65036
450;450;1.30574;-1.18704
450;450;2.55922;11.4868
450;450;14.7734;4.64646
450;450;3.08926;4.7527
450;450;-1.30484;-9.54906
450;450;-1.4799;-9.23455
450;450;6.92045;-5.56002
450;450;9.48631;5.39534
450;450;8.37139;-9.85568
450;450;4.74847;1.06841
450;450;5.44871;-3.13893
450;450;0.355772;9.90232
450;450;-1.12591;-3.49623
450;450;2.36581;-8.7535
450;450;2.30409;1.53606
450;450;6.358;6.59568
450;450;5.47972;6.37315
450;450;-2.31404;-2.55138
450;450;-5.40228;-6.88642
450;450;-1.66098;-9.19471
450;450;15.3909;-6.98511
450;450;10.6897;4.81037
450;450;4.45228;-9.26074
450;450;3.09283;4.57977
450;450;14.3556;-12.6946
450;450;1.12746;2.72965
450;450;6.17566;-0.0593814
450;450;1.06985;7.66728
450;450;4.39379;-3.08753
450;450;-0.416013;9.80601
450;450;-3.56759;3.15137
450;450;-8.38494;-0.77308
450;450;-19.2465;10.0391
450;450;-18.5453;12.4824
450;450;-11.7178;12.7885
450;450;-12.4246;2.67516
450;450;-4.21677;5.3452
450;450;-4.81481;1.30773
450;450;1.96153;-2.61537
450;450;-2.13773;-2.85031
450;450;-2.19675;6.23402
450;450;-2.37424;11.5744
450;450;-8.49798;14.0841
450;450;-11.888;9.21323
450;450;-8.61286;-0.653389
450;450;-6.46042;-4.9194
450;450;-3.74449;-16.7016
450;450;-4.99166;-13.3111
450;450;-6.29256;-7.95474
450;450;-7.17072;5.98547
450;450;-7.50061;10.1794
450;450;-7.37814;5.95011
450;450;-3.20511;0.237416
450;450;5.87934;-2.07855
450;450;-3.56347;0.118782
450;450;-6.3559;-1.60383
450;450;2.55517;-10.8743
450;450;1.24717;2.01923
450;450;2.2022;7.73745
450;450;4.45493;-4.15793
450;450;7.90476;-4.04153
450;450;13.4353;-2.9724
450;450;5.7676;0.178379
450;450;1.7861;4.58431
450;450;-2.74476;8.05528
450;450;-17.3418;1.31106
450;450;-2.19097;-0.532938
450;450;1.36749;11.5344
450;450;1.07052;-1.78421
450;450;0.771474;-10.0292
450;450;8.72877;7.12553
450;450;4.46126;6.90008
