target.x;target.y;delta.x;delta.y
450;450;-6.49111;-1.36104
450;450;-7.32655;-1.15131
450;450;-7.32655;-1.15131
450;450;-7.95361;-1.46514
450;450;-7.95361;-1.46514
450;450;-7.95361;-1.46514
450;450;-9.62861;-1.88386
450;450;-7.74611;-1.67483
450;450;-7.74611;-1.67483
450;450;-8.16339;-1.7792
450;450;-8.16339;-1.7792
450;450;-8.16339;-1.7792
450;450;-7.21978;-1.15098
450;450;-7.21978;-1.15098
450;450;-9.20409;-1.46429
450;450;-9.20409;-1.46429
450;450;-9.20409;-1.46429
450;450;-7.1073;-1.88134
450;450;-7.1073;-1.88134
450;450;-7.1073;-1.88134
450;450;-9.92874;-2.19477
450;450;-9.92874;-2.19477
450;450;-8.99021;-1.88167
450;450;-8.99021;-1.88167
450;450;-8.99073;-1.35906
450;450;-8.99073;-1.35906
450;450;-8.99073;-1.35906
450;450;-8.7796;-0.522595
450;450;-8.7796;-0.522595
450;450;-7.00075;-0.417955
450;450;-8.56708;-0.62686
450;450;-8.56708;-0.62686
450;450;-8.56708;-0.62686
450;450;-8.56708;-0.62686
450;450;-6.58355;-1.35851
450;450;-8.47096;-1.67328
450;450;-8.47096;-1.67328
450;450;-8.47687;-2.30236
450;450;-7.53763;-2.09379
450;450;-7.53763;-2.09379
450;450;-9.3141;-2.19771
450;450;-6.48659;-1.46471
450;450;-9.10479;-1.25583
450;450;-9.52894;-1.36128
450;450;-7.74836;-2.09415
450;450;-7.74836;-2.09415
450;450;-10.6771;-3.03564
450;450;-7.32569;-3.03493
450;450;-7.32569;-3.03493
450;450;-9.52617;-2.61708
450;450;-7.32995;-2.40841
450;450;-6.9103;-2.51283
450;450;-10.0543;-3.66562
450;450;-10.1614;-3.87598
450;450;-7.22861;-3.14287
450;450;-7.22861;-3.14287
450;450;-8.6973;-2.82924
450;450;-8.6973;-2.82924
450;450;-6.18026;-0.838002
450;450;-6.18026;-0.838002
450;450;-6.81312;-1.04817
450;450;-6.81312;-1.04817
450;450;-5.13695;-0.733849
450;450;-5.13695;-0.733849
450;450;-9.12548;-0.944015
450;450;-7.97076;-0.943905
450;450;-8.07469;-1.04866
450;450;-10.0648;-1.04842
450;450;-10.0648;-1.04842
450;450;-8.49218;-1.04842
450;450;-10.5865;-1.04817
450;450;-10.5865;-1.04817
450;450;-8.8026;-0.628757
450;450;-8.8026;-0.628757
450;450;-8.8026;-0.628757
450;450;-11.7382;-0.524025
450;450;-9.53227;-0.628501
450;450;-10.0548;-0.418952
450;450;-11.7279;-0.418855
450;450;-9.31735;-0.628136
450;450;-8.16576;-0.628136
450;450;-10.0513;-0.73291
450;450;-9.63309;-0.83766
450;450;-9.63309;-0.83766
450;450;-7.1226;-0.523721
450;450;-8.06577;-0.942752
450;450;-7.9638;-1.25744
450;450;-5.55467;-1.46727
450;450;-5.97493;-1.15306
450;450;-9.11857;-1.15292
450;450;-7.85855;-1.36215
450;450;-6.81074;-1.36215
450;450;-8.48724;-1.46693
450;450;-8.90636;-0.943026
450;450;-8.90636;-0.943026
450;450;-7.43813;-0.733337
450;450;-7.43813;-0.733337
450;450;-7.95916;-2.93232
450;450;-7.95916;-2.93232
450;450;-7.95916;-2.93232
450;450;-7.22776;-1.99025
450;450;-7.22776;-1.99025
450;450;-8.27816;-1.5718
450;450;-9.43026;-1.88605
450;450;-9.43026;-1.88605
450;450;-9.32331;-1.15232
450;450;-9.32331;-1.15232
450;450;-9.32331;-1.15232
450;450;-10.3733;-1.04781
450;450;-10.3733;-1.04781
450;450;-10.3733;-1.04781
450;450;-8.27527;-1.36175
450;450;-8.27527;-1.36175
450;450;-8.79799;-1.25686
450;450;-11.1055;-1.88583
450;450;-11.1055;-1.88583
450;450;-7.12177;-2.40883
450;450;-10.1572;-2.09427
450;450;-8.27382;-2.3041
450;450;-6.39199;-2.09574
450;450;-6.39237;-2.09586
450;450;-8.48773;-2.30531
450;450;-6.28501;-1.8855
450;450;-8.27334;-2.19924
450;450;-9.63309;-2.30357
450;450;-9.63309;-2.30357
450;450;-7.53719;-1.46556
450;450;-8.89445;-1.67425
450;450;-8.68416;-1.4648
450;450;-7.21894;-1.15085
450;450;-8.26468;-1.15078
450;450;-9.20409;-1.15051
450;450;-7.94991;-1.15065
450;450;-7.94991;-1.15065
450;450;-10.2536;-2.1972
450;450;-7.74385;-2.51152
450;450;-7.53544;-2.51181
450;450;-7.53544;-2.51181
450;450;-8.79134;-2.93045
450;450;-7.6401;-3.24442
450;450;-9.62637;-3.76684
450;450;-9.62637;-3.76684
450;450;-7.11349;-4.70746
450;450;-7.6361;-4.91639
450;450;-7.6361;-4.91639
450;450;-7.63965;-3.55819
450;450;-5.65026;-2.82513
450;450;-7.84668;-2.19707
450;450;-7.00929;-1.88309
450;450;-7.00929;-1.88309
450;450;-7.21726;-1.77817
450;450;-7.84348;-2.40534
450;450;-6.27734;-2.30169
450;450;-6.49074;-1.9891
450;450;-6.49074;-1.9891
450;450;-8.26997;-2.5124
450;450;-8.26997;-2.5124
450;450;-5.54853;-2.40785
450;450;-5.54853;-2.40785
450;450;-7.85261;-3.03634
450;450;-5.23538;-2.8271
450;450;-6.1799;-2.40911
450;450;-6.1799;-2.40911
450;450;-6.49943;-2.20142
450;450;-5.13695;-2.09671
450;450;-7.54948;-2.41164
450;450;-5.76764;-2.20219
450;450;-5.76764;-2.20219
450;450;-5.76764;-2.20219
450;450;-6.91955;-2.09683
450;450;-6.91955;-2.09683
450;450;-6.08436;-1.88825
450;450;-7.34063;-1.67786
450;450;-7.34063;-1.67786
450;450;-7.34063;-1.67786
450;450;-7.33849;-1.4677
450;450;-6.29234;-1.57308
450;450;-6.29234;-1.57308
450;450;-6.71026;-1.78241
450;450;-6.71026;-1.78241
450;450;-5.97563;-1.36286
450;450;-8.48822;-1.67669
450;450;-8.80363;-1.9913
450;450;-7.65033;-2.09598
450;450;-8.06811;-1.88605
450;450;-9.11539;-2.40982
450;450;-8.38197;-3.77189
450;450;-5.6575;-3.9812
450;450;-5.6575;-3.9812
450;450;-8.69477;-3.66647
450;450;-6.70284;-3.14196
450;450;-7.75016;-3.77035
450;450;-7.96241;-4.08597
450;450;-6.91432;-3.66668
450;450;-6.59888;-2.82809
450;450;-8.90273;-2.82793
450;450;-8.79748;-2.72303
450;450;-8.79748;-2.72303
450;450;-8.48279;-2.72287
450;450;-8.58802;-2.19937
450;450;-6.07339;-1.98956
450;450;-8.37953;-1.57116
450;450;-9.01114;-1.88605
450;450;-7.44463;-1.46796
450;450;-8.38978;-1.25847
450;450;-9.54338;-1.46821
450;450;-8.91051;-1.99176
450;450;-8.07046;-1.78179
450;450;-9.43466;-1.57244
450;450;-10.1673;-1.25781
450;450;-10.1673;-1.25781
450;450;-8.38343;-0.838343
450;450;-10.2745;-1.2581
450;450;-8.69984;-0.419269
450;450;-8.69984;-0.419269
450;450;-8.69984;-0.419269
450;450;-9.74177;-0.314251
450;450;-8.38002;-5.68434e-14
450;450;-9.84595;-0.104744
450;450;-10.7899;-5.68434e-14
450;450;-10.7899;-5.68434e-14
450;450;-10.7899;-5.68434e-14
450;450;-9.84938;-0.209561
450;450;-8.17099;-0.209513
450;450;-8.27767;0.314342
450;450;-10.3739;0.31436
450;450;-10.3739;0.31436
450;450;-10.3739;0.31436
450;450;-6.07799;1.88627
450;450;-8.17289;1.78127
450;450;-7.12467;0.838197
450;450;-8.17432;-5.68434e-14
450;450;-9.85053;-1.15272
450;450;-8.38294;-1.46702
450;450;-6.18386;-2.09622
450;450;-8.90791;-2.20078
450;450;-9.43136;-2.20065
450;450;-6.91633;-1.57189
450;450;-8.69578;-1.88583
450;450;-8.69578;-1.88583
450;450;-9.10956;-1.3612
450;450;-8.27045;-1.9891
450;450;-8.27045;-1.9891
450;450;-8.79288;-3.03564
450;450;-7.64187;-2.5124
450;450;-9.8385;-2.51196
450;450;-9.51953;-2.82448
450;450;-8.68164;-2.92874
450;450;-9.51842;-2.71955
450;450;-9.72988;-2.92943
450;450;-9.72988;-2.92943
450;450;-7.63699;-2.09233
450;450;-10.9885;-1.9884
450;450;-9.10426;-2.51152
450;450;-8.37319;-3.03528
450;450;-9.20998;-2.61647
450;450;-9.41875;-1.46514
450;450;-7.11391;-1.15078
450;450;-8.16102;-1.4648
450;450;-9.83279;-1.88287
450;450;-7.42473;-2.09147
450;450;-7.42473;-2.09147
450;450;-9.72818;-2.40589
450;450;-8.78726;-3.13831
450;450;-8.78726;-3.13831
450;450;-7.5315;-2.5105
450;450;-9.41437;-3.13812
450;450;-9.41437;-3.13812
450;450;-9.41437;-3.13812
450;450;-9.51731;-4.07885
450;450;-7.21601;-3.13739
450;450;-6.38011;-2.51021
450;450;-6.38011;-2.51021
450;450;-7.21601;-2.40534
450;450;-7.21601;-2.40534
450;450;-7.21601;-2.40534
450;450;-8.3659;-3.13721
450;450;-8.57455;-2.92789
450;450;-7.42387;-2.50948
450;450;-8.26084;-2.30049
450;450;-8.26084;-2.30049
450;450;-9.30814;-2.40548
450;450;-9.30814;-2.40548
450;450;-8.1558;-2.09123
450;450;-8.88722;-2.61389
450;450;-8.88722;-2.61389
450;450;-5.96451;-3.03458
450;450;-7.53544;-3.03511
450;450;-7.22146;-2.82579
450;450;-6.17523;-2.30263
450;450;-7.53675;-2.51225
450;450;-8.79185;-2.61662
450;450;-7.01173;-2.51167
450;450;-6.90989;-2.72208
450;450;-6.90989;-2.72208
450;450;-8.48032;-2.72208
450;450;-7.33123;-2.6183
450;450;-7.33123;-2.6183
450;450;-9.00904;-2.19988
450;450;-9.00904;-2.19988
450;450;-7.43553;-1.88506
450;450;-7.43553;-1.88506
450;450;-8.48773;-2.20052
450;450;-6.1817;-2.09549
450;450;-5.97215;-1.88594
450;450;-8.48625;-1.78106
