target.x;target.y;delta.x;delta.y
450;450;5.56471;2.72986
450;450;6.50891;3.14947
450;450;6.50891;3.14947
450;450;16.2789;-3.25578
450;450;16.2789;-3.25578
450;450;23.0368;0.105191
450;450;25.6771;7.47161
450;450;22.0798;13.353
450;450;10.9124;17.9426
450;450;5.45272;19.2942
450;450;2.93249;10.4732
450;450;8.16861;-0.837807
450;450;3.8708;6.48621
450;450;3.24216;13.8053
450;450;3.24216;13.8053
450;450;3.24216;13.8053
450;450;3.24216;13.8053
450;450;9.94201;8.26757
450;450;9.94201;8.26757
450;450;14.3383;6.48885
450;450;14.3383;6.48885
450;450;14.3383;6.48885
450;450;11.1068;12.4689
450;450;11.1068;12.4689
450;450;7.65255;12.6844
450;450;7.65255;12.6844
450;450;6.8163;8.80876
450;450;6.8163;8.80876
450;450;6.8163;8.80876
450;450;13.2201;3.56732
450;450;13.2201;3.56732
450;450;13.2201;3.56732
450;450;6.82863;-0.315168
450;450;6.82863;-0.315168
450;450;5.14504;-5.25004
450;450;5.14504;-5.25004
450;450;5.98784;-7.77368
450;450;5.98784;-7.77368
450;450;5.98784;-7.77368
450;450;8.18147;-11.7477
450;450;8.18147;-11.7477
450;450;8.18147;-11.7477
450;450;4.92498;-0.628721
450;450;4.92498;-0.628721
450;450;4.92498;-0.628721
450;450;4.92498;-0.628721
450;450;4.92498;-0.628721
450;450;-0.314489;10.0636
450;450;-0.314489;10.0636
450;450;-0.314489;10.0636
450;450;-0.419147;5.34413
450;450;-0.419147;5.34413
450;450;3.87576;1.99025
450;450;3.87576;1.99025
450;450;3.87576;1.99025
450;450;3.87576;1.99025
450;450;7.43856;1.78106
450;450;7.43856;1.78106
450;450;7.22692;4.71321
450;450;7.22692;4.71321
450;450;7.22692;4.71321
450;450;3.14123;13.1932
450;450;3.14123;13.1932
450;450;2.51181;9.62861
450;450;2.51181;9.62861
450;450;9.7361;-2.40785
450;450;12.573;-4.61008
450;450;12.573;-4.61008
450;450;12.573;-4.61008
450;450;18.0317;-5.87079
450;450;18.0317;-5.87079
450;450;12.5788;5.97493
450;450;12.5788;6.2894
450;450;12.5788;6.2894
450;450;12.0414;15.7061
450;450;12.0414;15.7061
450;450;12.0414;15.7061
450;450;11.7272;7.32953
450;450;11.7272;7.32953
450;450;11.7272;7.32953
450;450;11.1042;-4.39976
450;450;11.1042;-4.39976
450;450;11.1106;-5.97459
450;450;11.1106;-5.97459
450;450;9.95764;-10.901
450;450;9.95764;-10.901
450;450;10.7993;-5.87148
450;450;11.0045;-2.51532
450;450;10.2835;-1.46907
450;450;10.3824;-4.61438
450;450;10.3824;-4.61438
450;450;10.3824;-4.61438
450;450;7.86084;-2.41066
450;450;7.86084;-2.41066
450;450;8.38246;-2.61952
450;450;9.3244;-2.93352
450;450;9.3244;-2.93352
450;450;9.3244;-2.93352
450;450;12.1609;-2.20155
450;450;12.1609;-2.20155
450;450;12.1609;-2.20155
450;450;12.3785;-0.629417
450;450;12.3785;-0.629417
