target.x;target.y;delta.x;delta.y
450;450;1.05111;2.20733
450;450;1.05111;2.20733
450;450;0.735305;-2.20592
450;450;0.735305;-2.20592
450;450;0.735305;-2.20592
450;450;1.68031;1.47027
450;450;1.68031;1.47027
450;450;-1.36509;-1.68011
450;450;-1.36509;-1.68011
450;450;-0.209965;-2.30961
450;450;-0.209965;-2.30961
450;450;-0.209965;-2.30961
450;450;0.210026;1.26016
450;450;0.210026;1.26016
450;450;0.105037;1.89067
450;450;-0.210173;1.78647
450;450;1.26082;2.41657
450;450;1.26082;2.41657
450;450;1.89189;-0.105105
450;450;1.89189;-0.105105
450;450;2.41741;-0.735735
450;450;-2.52193;1.57621
450;450;-1.3662;1.26111
450;450;2.41756;-2.10222
450;450;-0.84084;-1.26126
450;450;0.420543;-1.99758
450;450;-2.31285;2.41798
450;450;0.10513;-0.525648
450;450;-0.210284;1.68227
450;450;-0.210284;1.68227
450;450;1.15629;-0.946055
450;450;1.15629;-0.946055
450;450;-0.420322;-2.20669
450;450;1.15575;-5.68434e-14
450;450;-1.47078;-5.68434e-14
450;450;-0.210198;-2.52237
450;450;1.05093;1.05093
450;450;0.105099;-1.78668
450;450;-0.525586;-1.78699
450;450;-0.841134;0.420567
450;450;1.05142;-1.05142
450;450;-0.105111;1.99711
450;450;0.630482;-1.57621
450;450;0.630482;-1.57621
450;450;-1.26089;0.420297
450;450;-1.05105;2.2072
450;450;-1.05105;2.2072
450;450;-0.210247;-2.31271
450;450;1.892;-1.05111
450;450;-5.68434e-14;0.840889
450;450;-2.52237;2.10198
450;450;2.31204;-1.3662
450;450;2.2063;0.420248
450;450;2.2063;-0.420248
450;450;2.2063;-0.420248
450;450;1.05062;-1.57593
450;450;-1.57584;-0.945503
450;450;-1.57584;-0.945503
450;450;-1.68031;2.41544
450;450;-1.47001;1.99501
450;450;0.314984;-1.57492
450;450;0.314947;1.04982
450;450;1.15501;0.105001
450;450;1.15501;0.105001
450;450;-1.89101;2.31123
450;450;0.105031;1.6805
450;450;0.105031;1.6805
450;450;0.735177;-2.31056
450;450;1.78595;-1.78595
450;450;0.315296;-1.78668
450;450;-0.94611;1.68197
450;450;0.52574;-5.68434e-14
450;450;1.47199;1.15656
450;450;-0.946276;-1.47199
450;450;-0.841134;0.105142
450;450;0.315407;-0.841085
450;450;-0.105117;1.99723
450;450;-1.26126;-1.89189
450;450;-1.26126;-1.89189
450;450;-0.105019;1.89034
450;450;1.68001;0.840006
450;450;1.68001;0.840006
450;450;0.420174;1.05044
450;450;-0.2101;-0.945448
450;450;-1.57584;1.68089
450;450;1.26067;-1.57584
450;450;1.26067;-1.57584
450;450;1.26067;-1.57584
450;450;0.210247;0.210247
450;450;0.735735;-1.89189
450;450;0.735735;-1.89189
450;450;1.78668;-0.210198
450;450;1.78668;-0.210198
450;450;1.78668;-0.210198
450;450;-5.68434e-14;-2.10234
450;450;-5.68434e-14;-2.10234
450;450;-5.68434e-14;-2.10234
450;450;1.89255;-1.89255
450;450;1.89255;-1.89255
450;450;0.736079;1.367
450;450;0.736079;1.367
450;450;0.736079;1.367
450;450;-1.68286;0.736251
450;450;-1.68286;0.736251
450;450;-1.68286;0.736251
450;450;-0.210394;0.525985
450;450;-0.210394;0.525985
450;450;-0.210394;0.525985
450;450;-0.420543;1.68217
450;450;-0.420543;1.68217
450;450;-0.105044;-1.05044
450;450;-0.105037;-2.31082
450;450;-0.840153;1.68031
450;450;-0.945172;-1.68031
450;450;-2.52031;1.05013
450;450;-1.89045;-1.15528
450;450;-1.89045;-1.15528
450;450;1.36485;1.57483
450;450;-0.419831;-0.314874
450;450;-0.419831;-0.314874
450;450;1.36405;-1.1542
450;450;0.104933;0.944401
450;450;-0.839614;0.734662
450;450;0.314929;-0.314929
450;450;0.314892;-5.68434e-14
450;450;0.629637;0.10494
450;450;-5.68434e-14;-0.314782
450;450;-5.68434e-14;-5.68434e-14
450;450;-0.52427;-0.314562
450;450;-0.52427;-0.314562
450;450;-0.10486;0.10486
450;450;-0.838978;-0.314617
450;450;-2.30706;0.419465
450;450;0.94385;0.734106
450;450;-0.314617;-5.68434e-14
450;450;2.51737;-5.68434e-14
450;450;0.629344;0.104891
450;450;0.838978;-0.629234
450;450;0.838978;-0.629234
450;450;-0.629197;-0.209732
450;450;-5.68434e-14;-0.209806
450;450;-5.68434e-14;-0.209806
450;450;2.30719;1.25847
450;450;1.15326;0.104842
450;450;1.15326;0.104842
450;450;1.15326;0.104842
450;450;-1.04909;-0.419636
450;450;0.94396;0.104884
450;450;0.94396;0.104884
450;450;-0.104897;0.31469
450;450;0.31469;-1.36366
450;450;2.09757;0.62927
450;450;0.104854;-0.419416
450;450;0.629087;-1.25817
450;450;-0.209769;0.629307
450;450;-1.46804;2.30692
450;450;-1.46804;2.30692
450;450;-0.41922;-2.0961
450;450;-0.41922;-2.0961
450;450;-0.41922;-2.0961
450;450;-1.3635;-1.99281
450;450;-0.629454;-2.09818
450;450;0.314763;2.41319
450;450;0.62949;1.25898
450;450;-0.104891;1.78314
450;450;-0.104891;1.78314
450;450;0.524575;0.20983
450;450;0.524575;0.20983
450;450;0.524575;0.20983
450;450;0.629747;-1.04958
450;450;0.629747;-1.04958
450;450;0.524698;0.524698
450;450;0.104958;0.734705
450;450;0.629821;-0.839761
450;450;0.629821;-0.839761
450;450;-0.315094;1.26038
450;450;-0.315094;1.26038
450;450;-0.315094;1.26038
450;450;1.47121;-0.630519
450;450;-0.210185;-2.62732
450;450;0.105087;-1.26104
450;450;0.945889;-0.525494
450;450;-0.946276;-0.525709
450;450;-0.315444;0.105148
450;450;0.52577;0.841233
450;450;1.36732;-0.946608
450;450;-2.2094;1.47293
450;450;-1.05203;-1.89366
450;450;-1.05166;1.99816
450;450;-2.41826;2.73369
450;450;0.946166;1.0513
450;450;-0.630556;-0.735649
450;450;-0.630556;-0.735649
450;450;0.945503;2.52134
450;450;0.525157;1.26038
450;450;-1.57529;1.47027
450;450;1.15541;-1.99571
450;450;1.05056;0.840447
450;450;-0.210136;-0.840545
450;450;-1.78564;2.31082
450;450;-0.315112;-1.99571
450;450;-0.315112;-1.99571
450;450;0.315186;-0.105062
450;450;0.315186;-0.105062
450;450;0.209989;-0.209989
450;450;0.209965;-2.41459
450;450;-1.88979;-1.36485
450;450;0.419978;1.67991
