target.x;target.y;delta.x;delta.y
450;450;1.57089;1.15198
450;450;1.57089;1.15198
450;450;-0.837855;0.104732
450;450;1.78086;-0.942807
450;450;1.78086;-0.942807
450;450;1.78086;-0.942807
450;450;-1.25722;0.314305
450;450;-1.25722;0.314305
450;450;-0.732953;-0.83766
450;450;-0.732953;-0.83766
450;450;-0.732953;-0.83766
450;450;-0.628574;-1.04762
450;450;-0.628574;-1.04762
450;450;-0.628574;-1.04762
450;450;1.25737;-1.15259
450;450;1.25737;-1.15259
450;450;-2.5162;-0.209683
450;450;-2.5162;-0.209683
450;450;1.04817;-0.628904
450;450;1.04817;-0.628904
450;450;1.04817;-0.628904
450;450;0.733636;2.20091
450;450;0.209647;-1.782
450;450;-1.15225;1.676
450;450;0.837758;1.98967
450;450;0.837758;1.98967
450;450;-0.314068;-0.837514
450;450;-0.314068;-0.837514
450;450;-0.314068;-0.837514
450;450;-5.68434e-14;-0.733379
450;450;-5.68434e-14;-0.733379
450;450;-5.68434e-14;0.314251
450;450;0.314269;-1.36183
450;450;0.314269;-1.36183
450;450;0.314269;-1.36183
450;450;-0.20961;2.41052
450;450;-0.20961;2.41052
450;450;-0.20961;2.41052
450;450;0.209683;1.46778
450;450;0.209683;1.46778
450;450;0.209683;1.46778
450;450;-0.419098;2.61936
450;450;-0.419098;2.61936
450;450;-0.419098;2.61936
450;450;1.04744;0.209488
450;450;1.04744;0.209488
450;450;-0.209488;-1.15219
450;450;-0.209488;-1.15219
450;450;-0.209488;-1.15219
450;450;0.104768;-2.51444
450;450;-2.20014;0.419074
450;450;1.36318;-0.83888
450;450;-2.20091;0.41922
450;450;1.67591;-1.78065
450;450;-1.88572;0.104762
450;450;0.209586;-1.15272
450;450;1.88737;-2.83106
450;450;1.88737;-2.83106
450;450;2.09574;-0.419147
450;450;2.20027;-1.99072
450;450;1.25869;0.734234
450;450;-1.05013;0.210026
450;450;-2.4177;2.4177
450;450;-2.20888;2.1037
450;450;-0.315131;0.105044
450;450;-1.78418;0.209904
450;450;1.78376;-1.46898
450;450;-1.67815;1.88792
450;450;-1.67815;1.88792
450;450;-1.36223;0.838294
450;450;0.314415;-2.0961
450;450;1.25766;-1.15286
450;450;1.8866;-0.314434
450;450;-1.15279;-1.78158
450;450;1.78158;-2.30558
450;450;-0.52369;-1.15212
450;450;-5.68434e-14;0.419025
450;450;-0.419367;1.67747
450;450;-0.419367;1.67747
450;450;-1.15339;-1.04854
450;450;-1.15339;-1.04854
450;450;-0.524178;0.629014
450;450;-0.524178;0.629014
450;450;1.04665;1.98863
450;450;1.04665;1.98863
450;450;1.04665;1.98863
450;450;-1.25656;-0.418855
450;450;1.88693;-0.628977
450;450;1.88693;-0.628977
450;450;-0.840104;-5.68434e-14
450;450;-2.41784;-0.31537
450;450;-2.41784;-0.31537
450;450;-2.41784;-0.31537
450;450;0.734748;1.1546
450;450;0.734748;1.1546
450;450;0.734748;1.1546
450;450;1.36334;-0.734106
450;450;1.36334;-0.734106
450;450;-1.88748;-0.94374
450;450;-1.88748;-0.94374
450;450;-1.88748;-0.94374
450;450;0.62916;1.15346
450;450;0.62916;1.15346
450;450;1.36302;1.99211
450;450;1.36302;1.99211
450;450;1.36302;1.99211
450;450;1.67708;0.628904
450;450;1.67708;0.628904
450;450;-1.25759;-0.838392
450;450;-1.25759;-0.838392
450;450;-0.838099;1.99049
450;450;-0.20961;1.67688
450;450;1.04811;-0.419245
450;450;1.04811;-0.419245
450;450;-0.20961;1.88649
450;450;0.943136;0.73355
450;450;-0.83766;-1.57061
450;450;-0.733379;-0.314305
450;450;-0.523964;-0.628757
450;450;-1.15319;0.314507
450;450;-1.15319;0.314507
450;450;-1.15319;0.314507
450;450;0.104946;2.20386
450;450;1.1546;-2.30921
