target.x;target.y;delta.x;delta.y
450;450;2.65142;1.26807
450;450;-2.58881;-0.805407
450;450;-2.58881;-0.805407
450;450;-2.58881;-0.805407
450;450;-1.89913;2.35952
450;450;-1.89913;2.35952
450;450;0.805562;0.805562
450;450;0.805562;0.805562
450;450;0.345506;-0.518259
450;450;0.345506;-0.518259
450;450;0.345163;-2.12851
450;450;0.345163;-2.12851
450;450;0.459059;0.918118
450;450;0.459059;0.918118
450;450;0.459059;0.918118
450;450;0.630222;-1.66149
450;450;0.630222;-1.66149
450;450;-0.687952;-0.802611
450;450;-0.687952;-0.802611
450;450;1.31778;0.515652
450;450;1.54706;0.171895
450;450;1.54706;0.171895
450;450;1.54706;0.171895
450;450;2.40776;0.630603
450;450;2.40776;0.630603
450;450;-0.573495;-0.172048
450;450;-0.573495;-0.172048
450;450;-1.7184;-0.859202
450;450;-1.7184;-0.859202
450;450;-1.7184;-0.859202
450;450;-2.23492;1.71917
450;450;-2.23492;1.71917
450;450;-2.23492;1.71917
450;450;1.37841;0.229735
450;450;1.37841;0.229735
450;450;0.344624;0.918997
450;450;0.344624;0.918997
450;450;0.344624;0.918997
450;450;-0.344569;-2.29713
450;450;-0.344569;-2.29713
450;450;-0.344569;-2.29713
450;450;0.402639;-1.26544
450;450;0.402639;-1.26544
450;450;0.402639;-1.26544
450;450;0.402639;-1.26544
450;450;-1.32414;-0.748428
450;450;-1.32414;-0.748428
450;450;-1.32414;-0.748428
450;450;0.34617;0.11539
450;450;0.34617;0.11539
450;450;-0.115327;1.78757
450;450;-0.115327;1.78757
450;450;-0.346826;1.61852
450;450;-0.346826;1.61852
450;450;-0.346826;1.61852
450;450;0.461206;-0.230603
450;450;0.461206;-0.230603
450;450;0.461206;-0.230603
450;450;0.0575788;0.748524
450;450;0.0575788;0.748524
450;450;-0.51796;-0.345307
450;450;-0.345219;-2.87682
450;450;-0.345219;-2.87682
450;450;-0.345219;-2.87682
450;450;-2.70231;0.344976
450;450;-2.70231;0.344976
450;450;-2.70231;0.344976
450;450;0.458854;-0.401497
450;450;0.458854;-0.401497
450;450;-1.03236;0.229412
450;450;1.0319;-0.68793
450;450;1.0319;-0.68793
450;450;1.31925;0.688303
450;450;1.31925;0.688303
450;450;0.229376;-2.23642
450;450;0.229376;-2.23642
450;450;0.229376;-2.23642
450;450;-0.804764;0.172449
450;450;-0.804764;0.172449
450;450;0.17251;1.32258
450;450;-0.45988;1.55209
450;450;-0.45988;1.55209
450;450;1.03463;1.03463
450;450;1.03463;1.03463
450;450;0.172224;0.114816
450;450;-0.516441;1.60671
450;450;-0.516441;1.60671
450;450;1.95063;-3.32754
450;450;-1.08929;1.37595
450;450;1.72279;2.46933
450;450;1.72279;2.46933
450;450;1.72279;2.46933
450;450;1.26576;1.89864
450;450;1.26576;1.89864
450;450;-1.09281;-0.977776
450;450;-0.977869;-0.575217
450;450;-0.977869;-0.575217
450;450;-0.977869;-0.575217
450;450;-1.66313;-0.688194
450;450;-0.917241;-0.401293
450;450;-0.917241;-0.401293
450;450;-0.917241;-0.401293
450;450;1.31841;-0.515899
450;450;1.31841;-0.515899
450;450;1.1456;-0.17184
450;450;1.1456;-0.17184
450;450;1.1456;-0.17184
450;450;0.572874;1.08846
450;450;0.572874;1.08846
450;450;1.3195;0.631065
450;450;1.3195;0.631065
450;450;1.3195;0.631065
450;450;-1.6626;1.60527
450;450;0.745709;1.37669
450;450;0.745709;1.37669
450;450;1.14746;-2.3523
450;450;1.14746;-2.3523
450;450;-1.84017;0.575052
450;450;0.287581;-5.68434e-14
450;450;1.6668;0.747186
450;450;1.78152;0.74709
450;450;0.574758;1.09204
450;450;0.574758;1.09204
450;450;0.574758;1.09204
450;450;-1.09141;-1.55096
450;450;-0.05743;0.34458
450;450;-2.35583;-2.58567
450;450;-2.35583;-2.58567
450;450;0.28704;-1.14816
450;450;0.28704;-1.14816
450;450;0.28704;-1.14816
450;450;-2.29186;0.229186
450;450;-0.343845;-0.22923
450;450;-1.03288;-1.72147
450;450;0.57302;1.03144
450;450;-5.68434e-14;-0.458474
450;450;-5.68434e-14;-0.458474
450;450;-0.517348;1.60953
450;450;-0.517348;1.60953
450;450;0.402948;0.230256
450;450;0.287333;-2.47107
450;450;0.287333;-2.47107
450;450;2.5846;-0.402048
450;450;2.5846;-0.402048
450;450;2.5846;-0.402048
450;450;-0.172449;1.32211
450;450;1.77857;0.344239
450;450;0.63286;1.72598
450;450;0.63286;1.72598
450;450;-1.2058;1.37806
450;450;-0.4021;-0.229771
450;450;-0.4021;-0.229771
450;450;2.64018;1.09051
450;450;-2.12545;0.0574446
450;450;-2.12545;0.0574446
450;450;-1.95063;-0.860571
450;450;-1.21214;0.519488
450;450;-1.21214;0.519488
450;450;-1.21214;0.519488
450;450;1.96081;1.26876
450;450;0.172825;0.864124
450;450;-2.36043;0.978714
450;450;1.26613;-0.0575512
450;450;0.402369;-0.172444
450;450;-5.68434e-14;2.47668
450;450;-0.80497;-1.09246
450;450;1.09138;0.402087
450;450;-0.171868;0.515603
450;450;0.172505;2.01255
450;450;-1.9553;-0.402562
450;450;0.287462;0.402446
450;450;0.690173;2.12803
450;450;0.690173;2.12803
450;450;0.690173;2.12803
450;450;-1.96;0.345882
450;450;1.03622;0.805948
450;450;1.03622;0.805948
450;450;-1.90138;-1.3252
450;450;-1.49748;-2.76458
450;450;-0.630824;1.43369
450;450;0.0571619;1.54337
450;450;0.0571619;1.54337
450;450;0.0571619;1.54337
450;450;-1.71933;0.802356
450;450;0.229296;-1.2038
450;450;0.229296;-1.2038
450;450;0.229296;-1.2038
450;450;1.54745;-1.26088
450;450;0.573294;-0.859941
450;450;-0.688281;-0.114714
450;450;-2.58427;-1.8377
450;450;-2.58427;-1.8377
450;450;0.74678;0.229779
450;450;0.74678;0.229779
450;450;-0.8609;-0.0573933
450;450;-0.8609;-0.0573933
450;450;-0.8609;-0.0573933
450;450;0.631166;-0.631166
450;450;0.631166;-0.631166
450;450;0.114838;-0.459352
450;450;0.344569;1.26342
450;450;-1.09089;-1.72246
450;450;2.29793;-0.919173
450;450;-2.12599;-1.32156
450;450;0.459264;1.66483
450;450;-1.55244;0.747472
450;450;1.38017;2.18527
450;450;-1.78414;-1.38127
450;450;2.12674;0.747233
450;450;2.12674;0.747233
450;450;1.26237;-0.975469
450;450;1.26237;-0.975469
450;450;0.573166;0.458533
450;450;-0.57344;0.974848
450;450;-0.57344;0.974848
450;450;0.518242;-1.15165
450;450;-0.689688;-0.689688
450;450;-0.057441;2.12532
450;450;0.747639;-1.55279
450;450;-2.1838;-1.66659
450;450;0.689006;1.43543
450;450;0.689006;1.43543
450;450;-0.0573604;-2.1797
450;450;-0.918206;0.401715
450;450;0.114955;-1.89676
450;450;1.84394;1.15246
450;450;1.84394;1.15246
450;450;2.13103;0.230381
450;450;2.13103;0.230381
450;450;1.49552;-0.287599
450;450;1.49552;-0.287599
450;450;1.78511;-0.518259
450;450;0.807058;-0.518823
450;450;0.807058;-0.518823
450;450;-0.172908;-0.461087
450;450;0.749963;-0.461516
450;450;0.749963;-0.461516
450;450;-0.288069;2.13171
450;450;1.72819;0.921703
450;450;1.72819;0.921703
450;450;1.55205;-0.574832
450;450;1.55205;-0.574832
450;450;0.288438;-1.44219
450;450;0.576969;-1.96169
450;450;0.576969;-1.96169
450;450;-0.633589;1.09438
450;450;3.10459;0.402446
450;450;-0.0574007;-2.87003
450;450;-0.0574007;-2.87003
450;450;0.978119;-0.690437
450;450;-0.0575052;-0.230021
450;450;-0.0575364;0.747974
450;450;-1.32338;-1.2083
450;450;2.6422;0.114878
450;450;-1.95162;-1.49242
450;450;1.14692;-1.89241
450;450;1.83489;1.83489
450;450;0.803251;1.377
450;450;-1.43616;0.229786
450;450;0.51687;-1.20603
450;450;-1.32351;-1.66877
450;450;-1.32351;-1.66877
450;450;-1.32351;-1.66877
450;450;-0.230021;-0.690062
450;450;-0.230021;-0.690062
450;450;-0.0575328;0.115066
450;450;-0.0575328;0.115066
450;450;0.0575346;0.402742
450;450;0.0575346;0.402742
450;450;-1.37955;1.37955
450;450;-1.37955;1.37955
450;450;-2.12674;1.55195
450;450;-2.12674;1.55195
450;450;-0.114955;-2.52902
450;450;1.37779;-0.631488
450;450;-0.0574428;1.26374
450;450;-2.01133;0.574666
450;450;-2.01133;0.574666
450;450;-0.746566;1.32085
450;450;0.459498;-1.26362
450;450;-2.52249;2.52249
450;450;-0.97401;0.114589
450;450;-0.97401;0.114589
450;450;-2.12254;1.26205
450;450;-2.12254;1.26205
450;450;0.458796;1.54844
450;450;1.44099;1.38335
450;450;1.44099;1.38335
450;450;3.04904;1.61081
450;450;3.04904;1.61081
450;450;-0.115121;1.78437
450;450;2.12898;-0.23016
450;450;-0.172571;0.747806
450;450;-1.72505;0.0575015
450;450;-5.68434e-14;-0.172714
450;450;-2.24385;-0.402742
450;450;0.748332;0.57564
450;450;0.748332;0.57564
450;450;0.748332;0.57564
450;450;0.691343;-1.32507
450;450;0.115368;0.576839
450;450;-0.402794;0.920671
450;450;-0.402112;-1.37867
450;450;0.919437;1.20676
450;450;0.919437;1.20676
450;450;0.919437;1.20676
450;450;-1.60943;0.517315
450;450;0.57463;-0.114926
450;450;-1.37933;1.78164
450;450;0.402292;-0.862055
450;450;0.402292;-0.862055
450;450;0.344404;1.14801
450;450;0.344404;1.14801
450;450;-1.72681;-0.115121
450;450;-1.72681;-0.115121
450;450;-1.72681;-0.115121
450;450;0.632355;0.747329
450;450;0.51715;-1.0343
450;450;0.287342;1.32177
450;450;-0.11532;0.11532
450;450;-0.691853;2.07556
450;450;0.172792;-1.03675
450;450;-5.68434e-14;-1.3785
450;450;-5.68434e-14;-1.3785
450;450;0.631508;-0.287049
450;450;0.631508;-0.287049
450;450;1.5519;1.26451
450;450;1.5519;1.26451
450;450;1.5519;1.26451
450;450;-0.633306;-1.43933
450;450;-0.40393;1.67342
450;450;-0.40393;1.67342
450;450;-0.345982;2.59486
450;450;-0.230286;1.09386
450;450;-0.575604;-1.26633
450;450;-1.83846;-0.402164
450;450;-1.83846;-0.402164
450;450;-0.688962;1.7224
450;450;-0.688962;1.7224
450;450;2.12464;-1.66526
450;450;0.286839;-1.66366
450;450;1.77812;2.23699
450;450;1.20653;0.402177
450;450;-0.114908;1.55125
450;450;-2.0121;0.114977
450;450;1.20564;0.631528
450;450;1.20564;0.631528
450;450;2.18032;1.26229
450;450;-0.114783;-0.860873
450;450;0.2295;-0.688501
450;450;-0.401139;-0.0573056
450;450;-0.401139;-0.0573056
450;450;1.20684;-1.0919
450;450;-2.01043;2.75717
450;450;-2.01043;2.75717
450;450;0.287251;0.287251
450;450;1.03437;-1.72394
450;450;-0.977744;0.345086
450;450;0.747376;-2.64456
450;450;-2.47004;-0.172328
450;450;-2.47004;-0.172328
450;450;-0.861285;-0.057419
450;450;-0.861285;-0.057419
450;450;-0.861285;-0.057419
450;450;-1.15102;0.805716
450;450;-1.15102;0.805716
450;450;-0.287793;-0.115117
450;450;-0.287793;-0.115117
450;450;-0.287793;-0.115117
450;450;1.09162;0.45963
450;450;1.09162;0.45963
450;450;-1.38132;-2.87774
450;450;1.15054;0.230109
450;450;1.15054;0.230109
450;450;-1.95818;-1.90059
450;450;-1.09414;1.03655
450;450;1.43786;-1.84046
450;450;1.43786;-1.84046
450;450;1.14977;-0.517398
450;450;1.14977;-0.517398
450;450;-1.32161;-0.287306
450;450;-1.32161;-0.287306
450;450;-0.114798;-1.32017
450;450;-0.114798;-1.32017
450;450;-0.689996;0.287498
450;450;-0.689996;0.287498
450;450;0.229999;0.114999
450;450;0.575199;1.95568
450;450;0.575199;1.95568
450;450;-1.03433;0.57463
450;450;-0.287572;1.38035
450;450;-0.172543;1.6104
450;450;-0.172543;1.6104
450;450;-0.403219;-2.1889
450;450;-0.518325;2.13089
450;450;-0.518325;2.13089
450;450;-1.61381;-1.61381
450;450;0.920877;1.49643
450;450;0.976839;-2.18352
450;450;-5.68434e-14;-1.89664
450;450;1.09159;-0.114904
450;450;-0.229522;0.459044
450;450;-0.229522;0.459044
450;450;-0.229522;0.459044
450;450;-1.4928;2.58369
450;450;-1.4928;2.58369
450;450;-0.631891;-1.20634
450;450;-0.746804;-0.97659
450;450;3.5643;-0.459909
450;450;3.5643;-0.459909
450;450;0.114926;-1.20672
450;450;0.114926;-1.20672
450;450;2.00928;1.20557
450;450;2.00928;1.20557
450;450;-1.66451;-1.26273
450;450;-0.574245;-1.20591
450;450;-0.574245;-1.20591
450;450;-1.43602;-5.68434e-14
450;450;-0.919378;-2.18352
450;450;1.66409;1.43456
450;450;1.66409;1.43456
450;450;-0.688128;2.00704
450;450;-0.688128;2.00704
450;450;-0.688128;2.00704
450;450;1.83244;2.23328
450;450;-0.573385;0.401369
450;450;-0.573385;0.401369
450;450;-0.804559;-1.32177
450;450;-0.804353;0.746899
450;450;-0.804353;0.746899
450;450;1.54809;0.917387
450;450;-0.74559;-1.95001
450;450;-1.66451;-0.286985
