target.x;target.y;delta.x;delta.y
450;450;0.628302;-0.171355
450;450;0.858764;0.057251
450;450;0.17166;0.34332
450;450;-0.228256;-0.57064
450;450;1.32258;0.575034
450;450;-0.517348;0.344899
450;450;-2.57834;1.48971
450;450;-0.514915;-0.686553
450;450;0.516227;2.23699
450;450;-1.43511;-1.89434
450;450;-0.171486;-0.571619
450;450;-0.859968;0.745306
450;450;-0.171671;0.0572237
450;450;-1.60876;-0.804379
450;450;-0.572965;1.7189
450;450;-5.68434e-14;-1.66192
450;450;-2.22825;1.08556
450;450;-1.48512;0.228481
450;450;-1.5447;0.686531
450;450;-0.343889;1.49018
450;450;-1.03012;-5.68434e-14
450;450;-0.973824;0.859256
450;450;-0.57291;0.57291
450;450;-1.20307;2.80717
450;450;-0.916394;2.06189
450;450;-0.62904;1.60119
450;450;1.88724;-0.514702
450;450;-0.171709;1.77433
450;450;-0.630382;0.286537
450;450;-1.03075;1.43159
450;450;12.578;12.6928
450;450;21.7209;-4.29833
450;450;-11.0389;9.72339
450;450;11.1824;1.76865
450;450;9.45694;-7.90944
450;450;10.7803;9.74817
450;450;14.0484;-12.6722
450;450;2.64001;17.2175
450;450;0.85871;17.5749
450;450;9.63379;1.60563
450;450;6.99775;8.0302
450;450;4.25253;4.94213
450;450;12.6949;10.1674
450;450;13.4176;4.47255
450;450;2.86592;9.80145
450;450;13.4463;0.171655
450;450;24.2794;3.23725
450;450;-0.802253;14.9563
450;450;0.745448;-8.14259
450;450;-18.4416;3.53988
450;450;2.2357;30.7839
450;450;14.5956;-2.98807
450;450;-11.1444;19.8314
450;450;3.20239;16.7553
450;450;14.4277;3.32066
450;450;5.50064;3.15141
450;450;3.65372;13.1306
450;450;14.0479;12.9585
450;450;-17.9717;16.4263
450;450;5.2942;-4.83383
450;450;4.01063;-0.458358
450;450;11.7038;14.9166
450;450;18.2023;-5.20884
450;450;2.17845;5.04482
450;450;2.76228;6.56041
450;450;0.801488;8.01488
450;450;0.457469;13.5525
450;450;11.671;11.7282
450;450;7.20583;16.013
450;450;0.743979;10.1296
450;450;3.32479;5.56042
450;450;-1.54637;20.1028
450;450;-5.68434e-14;11.9116
450;450;11.0389;-4.23253
450;450;13.7477;6.615
450;450;0.286857;2.92594
450;450;1.03022;11.2752
450;450;9.68219;0.229164
450;450;12.2509;17.2314
450;450;8.1457;3.49921
450;450;11.3769;-4.82658
450;450;13.1032;-5.45968
450;450;20.532;0.0575125
450;450;2.86464;5.6147
450;450;4.93473;-1.03285
450;450;5.2288;13.2731
450;450;15.5438;8.80814
450;450;4.59498;12.7511
450;450;18.7753;5.95315
450;450;18.9803;3.84192
450;450;22.3104;2.23677
450;450;26.3172;5.22896
450;450;7.51901;25.6565
450;450;2.2362;13.8186
450;450;19.071;4.71031
450;450;0.344097;4.70266
450;450;16.2684;-7.84577
450;450;12.7865;6.53659
450;450;13.5764;7.65112
450;450;6.43359;1.43607
450;450;-3.42514;2.45469
450;450;17.8425;6.99931
450;450;6.03631;-9.31316
450;450;10.5422;7.16184
450;450;5.44248;-6.64555
450;450;-5.08418;12.6248
450;450;14.5029;6.53492
450;450;12.1057;3.72926
450;450;16.2629;15.1749
450;450;6.71673;11.7686
450;450;7.0998;1.77495
450;450;2.63892;1.20472
450;450;2.63824;10.725
450;450;10.2783;4.01946
450;450;2.63993;0.459117
450;450;8.88294;15.3589
450;450;-16.5413;-3.66313
450;450;-1.31665;9.78898
450;450;3.1464;6.86488
450;450;-2.12058;3.72534
450;450;-0.572109;17.621
450;450;0.114535;12.8279
450;450;1.60221;2.23165
450;450;-1.54401;13.2098
450;450;4.00706;1.25936
450;450;2.63976;7.68973
450;450;4.29888;7.39408
450;450;-2.98846;-7.47114
450;450;13.6701;-1.26362
450;450;11.9219;-5.41379
450;450;3.38383;11.4706
450;450;11.9895;8.37542
450;450;23.3524;9.23768
450;450;-0.801437;2.97677
450;450;-10.7587;10.4154
450;450;-5.50344;-5.96206
450;450;4.59498;1.49337
450;450;-12.336;12.2218
450;450;14.391;-2.35073
450;450;6.12683;10.6504
450;450;12.5336;-3.26216
450;450;23.8437;-11.5763
450;450;7.4963;17.2243
450;450;11.5872;18.2986
450;450;23.7752;-1.66542
450;450;5.04033;16.6102
450;450;6.58742;-2.17671
450;450;12.7971;9.98517
450;450;-6.07285;7.56242
450;450;-0.458124;4.8103
450;450;5.78658;-4.8126
450;450;16.1628;9.51425
450;450;-1.42728;14.7295
450;450;-2.11465;8.1157
450;450;7.34518;6.14011
450;450;-4.8817;16.5978
450;450;15.1263;0.345086
450;450;-0.1146;11.8038
450;450;15.2015;-5.56432
450;450;-0.860269;9.63502
450;450;9.11334;15.0169
450;450;3.79425;2.81694
450;450;2.57851;9.45453
450;450;-1.65601;12.8484
450;450;5.74611;-0.114922
450;450;7.17257;10.558
