target.x;target.y;delta.x;delta.y
450;450;7.39815;1.3089
450;450;2.27707;4.78186
450;450;-0.455429;5.29437
450;450;-0.455429;5.29437
450;450;2.6726;10.8041
450;450;0.453707;8.79058
450;450;7.93863;9.46965
450;450;1.98578;-3.29073
450;450;5.2815;-3.46421
450;450;5.96638;-1.7615
450;450;6.8213;-2.72852
450;450;7.28134;-7.90708
450;450;7.28134;-7.90708
450;450;7.28134;-7.90708
450;450;3.7567;-5.06585
450;450;3.7567;-5.06585
450;450;8.83065;-4.78564
450;450;2.67632;-9.05395
450;450;2.67632;-9.05395
450;450;11.1668;-5.86829
450;450;5.91161;-13.8695
450;450;-1.87692;-13.5366
450;450;-1.87692;-13.5366
450;450;-1.47986;-12.9204
450;450;8.20733;-15.2178
450;450;8.20733;-15.2178
450;450;10.2193;-9.47713
450;450;6.73206;-2.16795
450;450;6.73206;-2.16795
450;450;6.73206;-2.16795
450;450;-3.01894;-6.20876
450;450;-4.44282;-13.8981
450;450;1.3656;-13.087
450;450;16.7439;-13.7824
450;450;20.4037;-13.4505
450;450;23.8199;-18.5646
450;450;18.2381;-28.3005
450;450;18.2381;-28.3005
450;450;18.2381;-28.3005
450;450;13.0677;-7.87483
450;450;13.0677;-7.87483
450;450;13.0677;-7.87483
450;450;10.4417;-2.45352
450;450;10.4417;-2.45352
450;450;-2.85103;3.42124
450;450;-2.85103;3.42124
450;450;-2.85103;3.42124
450;450;-2.50486;2.16329
450;450;-2.50486;2.16329
450;450;-2.50486;2.16329
450;450;8.66138;-5.35638
450;450;8.66138;-5.35638
450;450;13.2317;-10.5512
450;450;13.2317;-10.5512
450;450;13.6037;-4.40118
450;450;13.6037;-4.40118
450;450;13.6037;-4.40118
450;450;10.1225;2.28756
450;450;10.1225;2.28756
450;450;13.3746;-4.97261
450;450;20.8455;-7.196
450;450;20.8455;-7.196
450;450;17.8695;-7.7644
450;450;17.8695;-7.7644
450;450;17.8695;-7.7644
450;450;5.63772;-2.79039
450;450;6.15082;-3.87274
450;450;6.15082;-3.87274
450;450;6.84096;-6.84096
450;450;6.84096;-6.84096
450;450;14.8221;-12.0287
450;450;14.8221;-12.0287
450;450;7.98238;-8.83764
450;450;7.98238;-8.83764
450;450;5.97619;-0.455329
450;450;5.97619;-0.455329
450;450;-9.54048;3.4641
450;450;-9.48369;3.52089
450;450;0.851291;4.59697
450;450;8.12179;1.93106
450;450;8.12179;1.93106
450;450;7.733;-0.909765
450;450;11.1492;4.38004
450;450;12.5227;-5.23677
450;450;12.8793;-17.0395
450;450;9.6313;-18.3508
450;450;9.6313;-18.3508
450;450;18.0368;-8.39054
450;450;18.0368;-8.39054
450;450;16.5219;-1.25772
450;450;16.5219;-1.25772
450;450;16.5219;-1.25772
450;450;9.82935;-3.1431
450;450;9.82935;-3.1431
450;450;9.82935;-3.1431
450;450;16.3992;-19.3134
450;450;16.3992;-19.3134
450;450;7.8143;-9.69658
450;450;7.64294;-9.18294
450;450;7.64294;-9.18294
450;450;7.1269;-3.02181
450;450;7.1269;-3.02181
450;450;7.1269;-3.02181
450;450;6.55094;-3.36092
450;450;6.55094;-3.36092
450;450;6.55094;-3.36092
450;450;-6.49562;-5.86885
450;450;-6.49562;-5.86885
450;450;-7.05871;-4.26938
450;450;-7.05871;-4.26938
450;450;-3.52712;-8.8747
450;450;2.44847;-10.8188
450;450;9.73603;-16.3975
450;450;9.73603;-16.3975
450;450;9.73603;-16.3975
450;450;10.0789;-13.7233
450;450;10.0789;-13.7233
450;450;12.6286;-3.69756
450;450;8.31001;0.341507
450;450;13.207;2.90327
450;450;16.2935;-0.341821
450;450;16.2935;-0.341821
450;450;16.2935;-0.341821
450;450;8.38071;-1.19724
450;450;5.85809;3.29873
450;450;2.50154;-5.57161
