target.x;target.y;delta.x;delta.y
450;450;-10.2554;-1.14586
450;450;-10.2554;-1.14586
450;450;-10.2554;-1.14586
450;450;-12.7332;-1.03242
450;450;-9.1765;-1.89265
450;450;-12.2178;-2.69594
450;450;-12.2178;-2.69594
450;450;-7.62529;-5.2173
450;450;-7.62529;-5.2173
450;450;-1.83448;-7.85387
450;450;-1.83448;-7.85387
450;450;-4.63482;0.74386
450;450;-4.8637;3.89096
450;450;-8.91867;9.03301
450;450;-9.99539;8.2819
450;450;-9.99539;8.2819
450;450;-9.47623;5.76566
450;450;-6.92252;-2.34565
450;450;-6.92252;-2.34565
450;450;-12.5181;-15.4332
450;450;-12.5181;-15.4332
450;450;-12.6392;3.54584
450;450;-14.3517;5.54629
450;450;-14.7393;10.9688
450;450;-6.63352;11.2084
450;450;-6.63352;11.2084
450;450;-6.63352;11.2084
450;450;-7.0459;3.8953
450;450;-6.82415;8.02841
450;450;-16.0548;6.59393
450;450;-19.0158;6.41496
450;450;-19.0158;6.41496
450;450;-15.4607;10.4789
450;450;-10.425;7.84738
450;450;-10.425;7.84738
450;450;-16.0236;-1.37346
450;450;-17.2128;-0.457484
450;450;-17.2128;-0.457484
450;450;-22.5032;-6.968
450;450;-22.5032;-6.968
450;450;-22.5032;-6.968
450;450;-11.7544;1.19827
450;450;-12.0432;5.99305
450;450;-17.342;4.27845
450;450;-22.0141;0.228126
450;450;-22.0141;0.228126
450;450;-23.4267;-9.42782
450;450;-23.3688;-9.42752
450;450;-23.3688;-9.42752
450;450;-11.8344;4.68802
450;450;-7.84288;-2.0609
450;450;-0.861285;-7.52189
450;450;-2.58163;-12.9082
450;450;-2.58163;-12.9082
450;450;11.2934;-20.6853
450;450;11.2934;-20.6853
450;450;11.2934;-20.6853
450;450;15.3032;-19.7906
450;450;6.13698;-4.18691
450;450;-0.114458;-0.915666
450;450;-3.20769;-9.96674
450;450;-3.20769;-9.96674
450;450;-18.1607;-0.229157
450;450;-18.1607;-0.229157
450;450;-18.1607;-0.229157
450;450;-9.77841;-4.57469
450;450;-9.77841;-4.57469
450;450;-9.77841;-4.57469
450;450;0.800495;7.54752
450;450;0.800495;7.54752
450;450;0.800495;7.54752
450;450;1.71791;-1.94697
450;450;1.71791;-1.94697
450;450;-10.135;3.83642
450;450;-10.135;3.83642
450;450;-10.135;3.83642
450;450;2.06682;-18.0847
450;450;2.06682;-18.0847
450;450;2.06682;-18.0847
450;450;8.05021;-3.22008
450;450;8.05021;-3.22008
450;450;5.86384;-0.229955
450;450;5.86384;-0.229955
450;450;-7.65186;-1.26572
450;450;-7.65186;-1.26572
450;450;-7.65186;-1.26572
450;450;-14.432;-3.79486
450;450;-9.18645;-6.54535
450;450;-9.18645;-6.54535
450;450;-9.18645;-6.54535
450;450;0.287407;-7.58753
450;450;0.287407;-7.58753
450;450;0.97606;-6.25827
450;450;0.97606;-6.25827
450;450;-19.5162;-6.37147
450;450;-21.4453;-14.9085
450;450;-21.4453;-14.9085
450;450;-21.4453;-14.9085
450;450;-5.32976;0.114619
450;450;-5.32976;0.114619
450;450;-5.32976;0.114619
450;450;5.34713;-11.6717
450;450;5.86909;-11.1052
450;450;5.86909;-11.1052
450;450;5.86909;-11.1052
450;450;-0.230345;-8.23482
450;450;-0.230345;-8.23482
450;450;-0.576987;-18.4059
450;450;-0.576987;-18.4059
450;450;-0.461605;-18.2911
450;450;-0.461605;-18.2911
450;450;-0.0574648;-20.2851
450;450;-0.0574648;-20.2851
450;450;-3.72108;-3.95007
450;450;-12.4144;-1.54465
450;450;-12.4585;4.11474
450;450;-10.6913;13.5499
450;450;-10.5198;13.8358
450;450;-10.5198;13.8358
450;450;-9.38438;2.00276
450;450;-9.38438;2.00276
450;450;3.76909;-10.2793
450;450;4.287;-7.77377
450;450;4.287;-7.77377
450;450;0.62958;1.71704
450;450;0.2861;2.46046
450;450;0.2861;2.46046
450;450;-2.06195;-1.66102
450;450;-2.06195;-1.66102
450;450;-6.82306;-11.2953
450;450;-7.16366;-10.0291
450;450;-7.32812;0.171753
450;450;-4.75455;12.4306
450;450;-4.75455;12.4306
450;450;-4.75455;12.4306
450;450;-4.29259;8.24178
450;450;-1.37332;2.28887
450;450;-4.98115;-3.43528
450;450;-9.6093;-0.457586
450;450;-9.6093;-0.457586
450;450;-7.49058;-13.6088
450;450;-3.43484;-11.8502
450;450;-5.10215;-1.54784
450;450;0.916423;3.32203
450;450;4.29491;8.41803
450;450;4.29491;8.41803
450;450;-1.60492;-3.03788
450;450;-1.89145;-3.0951
450;450;-1.89145;-3.0951
450;450;-20.9047;-0.0571165
450;450;-21.1674;-2.39631
450;450;-18.3566;0.798112
450;450;-15.3488;5.81998
450;450;-15.3488;5.81998
450;450;-18.2703;5.65238
450;450;-18.2208;4.51235
450;450;-18.2208;4.51235
450;450;-17.7859;5.92864
450;450;-17.7859;5.92864
450;450;-13.2778;15.4433
450;450;-16.9158;15.7198
450;450;-15.307;7.96649
450;450;-22.6583;-0.284652
450;450;-22.6583;-0.284652
450;450;-22.6583;-0.284652
450;450;-17.9172;2.16144
450;450;-6.89229;6.03788
450;450;2.22529;2.96705
450;450;4.96614;-10.7885
450;450;4.96614;-10.7885
450;450;-10.6639;-5.13235
450;450;-10.6639;-5.13235
450;450;-11.8652;2.56699
450;450;-8.96758;2.74168
450;450;-17.7101;1.31397
450;450;-17.7101;1.31397
450;450;5.43193;5.20322
450;450;5.83273;5.66118
450;450;5.83273;5.66118
450;450;-3.83936;6.58994
450;450;-6.30322;-4.41225
450;450;-6.30322;-4.41225
450;450;-4.59074;-7.40256
450;450;-10.1609;-10.7924
450;450;-10.1609;-10.7924
450;450;-17.4693;-5.09761
450;450;-17.4693;-5.09761
450;450;-1.20327;10.5429
450;450;-1.20327;10.5429
450;450;-11.8135;-5.8203
450;450;-5.01465;-6.74383
450;450;-7.47615;-7.93622
450;450;-7.47615;-7.93622
450;450;-6.15758;-6.7906
450;450;-6.15758;-6.7906
