target.x;target.y;delta.x;delta.y
450;450;-0.512358;-0.170786
450;450;0.682971;0.0569143
450;450;-1.19539;0.17077
450;450;1.02485;0.113872
450;450;-0.512439;-0.455501
450;450;-0.568945;-0.170683
450;450;0.454983;0.170619
450;450;-0.682798;0.455199
450;450;0.967328;-0.227607
450;450;0.170673;-0.284454
450;450;-0.170667;-0.455113
450;450;1.02384;1.87704
450;450;-0.455127;0.227564
450;450;-0.796019;-5.68434e-14
450;450;0.511888;-0.739394
450;450;-0.569035;0.455228
450;450;-0.1707;0.341399
450;450;1.1952;-0.341486
450;450;-1.13821;-0.170732
450;450;-0.0569197;-5.68434e-14
450;450;1.08137;0.170743
450;450;-0.0569197;-0.0569197
450;450;-0.512309;-0.34154
450;450;0.170716;0.170716
450;450;-0.682712;0.113785
450;450;0.398287;0.0568981
450;450;0.170689;-5.68434e-14
450;450;0.682863;-5.68434e-14
450;450;-0.455185;-0.113796
450;450;-5.68434e-14;-0.625701
450;450;0.113789;0.568945
450;450;-0.284445;0.227556
450;450;0.625859;-0.398274
450;450;-0.85366;-0.512196
450;450;0.796699;-0.0569071
450;450;-5.68434e-14;-5.68434e-14
450;450;-0.341432;0.170716
450;450;0.0568855;0.284427
450;450;0.511888;0.284382
450;450;-0.455127;0.398236
450;450;-0.341453;-0.284544
450;450;0.796951;-5.68434e-14
450;450;-1.0812;-5.68434e-14
450;450;0.796321;-0.17064
450;450;-0.966565;-0.113713
450;450;0.739441;-0.455041
450;450;0.341151;0.852878
450;450;-0.511646;-0.284248
450;450;-5.68434e-14;-0.454782
450;450;0.681979;0.625148
450;450;-0.738951;-0.170527
450;450;0.113688;-0.454753
450;450;-0.0568334;0.284167
450;450;0.0568352;0.511517
450;450;-0.284248;-0.625345
450;450;0.227434;0.341151
450;450;0.511743;0.625464
450;450;-1.08062;-0.625622
450;450;-0.170656;0.227542
450;450;-0.34127;0.455026
450;450;0.170694;0.0568981
450;450;0.284517;-0.227614
450;450;-0.455199;-0.0568999
450;450;0.227571;-5.68434e-14
450;450;0.568855;-0.341313
450;450;-0.796825;0.455329
450;450;-0.113854;0.455415
450;450;0.512228;0.113829
450;450;-0.626097;-0.227671
450;450;0.341432;-0.341432
450;450;0.910312;-0.0568945
450;450;-0.909909;0.568693
450;450;0.910312;-0.0568945
450;450;-0.625622;-0.853121
450;450;0.397985;0.397985
450;450;0.511694;0.568549
450;450;-0.852797;0.170559
450;450;0.682302;-0.39801
450;450;-0.284293;-0.625444
450;450;-0.739278;0.170603
450;450;1.3077;0.34114
450;450;-1.07997;0.113681
450;450;0.397834;0.1705
450;450;0.284131;-0.340957
450;450;-0.909133;-0.625029
450;450;1.07949;0.227262
450;450;-0.340774;-5.68434e-14
450;450;-0.170371;-0.0567904
450;450;0.340774;0.283979
450;450;-0.227248;0.397683
450;450;-0.681872;-0.454581
450;450;0.341043;-0.454725
450;450;0.341043;0.682087
450;450;-5.68434e-14;-0.227348
450;450;0.852797;-0.682238
450;450;-0.568693;-5.68434e-14
450;450;0.227341;0.227341
450;450;0.738788;0.0568298
450;450;-0.340893;-0.170446
450;450;-0.170436;-5.68434e-14
450;450;-0.170409;0.340817
450;450;0.681807;0.170452
450;450;-0.22724;-0.11362
450;450;0.170452;-0.397721
450;450;-0.340893;0.113631
450;450;-0.965741;0.568083
450;450;0.795366;-0.284059
450;450;-1.19339;-0.56828
450;450;0.284194;0.568388
450;450;-0.170425;-0.284041
450;450;-0.397758;-0.738694
450;450;0.113645;0.85234
450;450;-0.738694;-0.568226
450;450;0.284149;0.284149
450;450;0.568514;0.739068
450;450;-1.13692;0.113692
450;450;-0.511646;-1.19384
450;450;0.681958;-0.852447
450;450;-0.056846;0.852689
450;450;-0.511727;-0.625444
450;450;-0.227456;0.909823
450;450;0.795869;-0.682173
450;450;-0.284221;0.284221
450;450;-0.739161;0.284293
450;450;1.42196;-0.398148
450;450;-0.625562;-0.454954
450;450;0.625444;0.170576
450;450;0.170565;0.739114
450;450;-0.0568567;-0.682281
450;450;-0.795919;0.341108
450;450;0.284068;0.511323
450;450;0.625108;-0.340968
450;450;-1.0796;-0.397746
450;450;0.795366;0.340871
450;450;-0.851856;0.340742
450;450;1.24943;-0.227169
450;450;-0.738601;-0.397708
450;450;0.0568083;-0.170425
450;450;0.397395;0.510936
450;450;0.510952;-0.340635
450;450;-0.567868;0.0567868
450;450;0.0567689;0.851533
450;450;-0.17036;-0.624655
450;450;0.056785;0.056785
450;450;0.283862;0.510952
450;450;0.283907;-0.0567814
450;450;-0.170398;0.170398
450;450;-0.62497;-0.568155
450;450;0.795391;-0.397696
450;450;-0.852124;0.0568083
450;450;0.28414;-0.113656
450;450;0.056837;0.056837
450;450;0.284194;-5.68434e-14
450;450;0.0568316;-0.113663
450;450;0.34099;0.170495
450;450;-0.511549;0.341033
450;450;-0.1705;-0.341
450;450;0.341281;-0.455041
450;450;-0.568909;0.682691
450;450;0.455257;-5.68434e-14
450;450;0.512083;-0.113796
450;450;-0.398287;0.227592
450;450;0.796674;-1.02429
450;450;-0.511888;0.910024
450;450;0.341291;-0.455055
450;450;-0.682647;-0.170662
450;450;-0.0568783;0.625661
450;450;-0.113753;-0.625641
450;450;0.852986;0.511791
450;450;-1.08021;0.170559
450;450;1.19399;-0.284284
450;450;-0.454911;-0.170592
450;450;0.2844;-0.2844
450;450;-0.512131;-0.113807
450;450;0.0569197;0.170759
450;450;0.739862;0.512212
450;450;-0.341421;0.17071
450;450;1.42209;-0.0568837
450;450;-0.11371;0.11371
450;450;0.454969;-5.68434e-14
450;450;-0.0568783;-0.34127
450;450;-0.511872;0.0568747
450;450;-0.0568765;0.0568765
450;450;0.397834;0.0568334
450;450;0.0568226;-5.68434e-14
450;450;0.568101;-5.68434e-14
450;450;-0.340936;-0.738694
450;450;-0.227334;0.909334
450;450;0.284221;-0.625286
450;450;-5.68434e-14;-0.227463
450;450;0.0568639;0.454911
450;450;0.397959;-0.170554
450;450;-0.51184;-0.284356
450;450;0.967451;0.284544
450;450;-0.398274;0.45517
450;450;-0.796346;-0.796346
450;450;0.625681;0.625681
450;450;-0.853067;-0.227484
450;450;0.398198;-0.511969
450;450;0.568783;0.625661
450;450;-0.341281;0.2844
450;450;-0.625661;-0.568783
450;450;0.170608;-0.398085
450;450;0.284365;1.2512
450;450;0.398085;-0.682432
450;450;-0.113746;0.909966
450;450;-0.227528;-1.02387
450;450;-0.625622;0.739371
450;450;0.739138;-0.397997
450;450;-0.625385;-0.397972
450;450;0.739138;0.739138
450;450;-0.284248;-0.568496
450;450;-0.227542;-0.455084
450;450;-0.398198;0.682626
450;450;0.795718;-0.397859
450;450;-0.738904;-0.511549
450;450;0.568639;0.625503
450;450;0.0568675;-0.45494
450;450;0.398098;-0.284356
450;450;-0.853067;0.341227
450;450;0.341237;0.341237
450;450;-0.625345;-0.0568496
450;450;1.02329;-0.170549
450;450;-0.909765;-0.170581
450;450;1.13696;-0.341087
450;450;-0.852636;-0.170527
450;450;0.284221;0.284221
450;450;-0.398085;0.511824
450;450;-0.0568873;-0.62576
450;450;0.455084;0.227542
450;450;-0.511808;0.739278
450;450;1.02371;-0.454983
450;450;-1.13703;-0.511662
450;450;0.966442;0.909593
450;450;0.0568693;-0.568693
450;450;-0.455228;-0.682842
450;450;-0.0568855;0.682626
450;450;1.25097;-0.227449
450;450;-1.13731;-0.568657
450;450;0.795944;0.170559
450;450;-0.51163;0.397934
450;450;-0.0568621;0.511759
450;450;0.454926;-0.909852
450;450;0.284418;0.625721
450;450;-0.398073;-0.45494
450;450;-5.68434e-14;-5.68434e-14
450;450;0.454883;0.341162
450;450;-0.170565;0.11371
450;450;0.113699;0.227398
450;450;-0.511694;-0.682259
450;450;0.0568406;-5.68434e-14
450;450;0.284077;0.397708
450;450;1.2497;0.511242
450;450;-0.738858;-0.738858
450;450;0.909823;0.341184
450;450;-0.511711;0.795994
450;450;0.0568531;-0.170559
450;450;0.511711;-0.34114
450;450;-0.739114;-0.22742
450;450;0.682238;-0.170559
450;450;-0.0568478;0.568478
450;450;0.227434;-0.113717
450;450;-0.85304;-0.568693
450;450;0.568693;0.227477
450;450;-0.170629;0.284382
450;450;-0.568657;-0.341194
450;450;0.397846;0.227341
450;450;0.625049;0.681872
450;450;-0.227413;-0.511678
450;450;-0.682346;-0.341173
450;450;1.0232;0.341065
450;450;-0.454753;-5.68434e-14
450;450;0.113642;-0.227283
450;450;0.625069;-0.227298
450;450;-0.227305;0.625088
450;450;-0.568316;-0.511484
450;450;-0.511533;0.511533
450;450;0.568424;-0.454739
450;450;-0.113724;-0.341173
450;450;-0.227434;0.909737
450;450;-5.68434e-14;-0.113692
450;450;0.39806;-0.0568657
450;450;0.511888;-0.284382
450;450;-1.02391;-0.113767
450;450;1.08089;0.284445
450;450;-0.568963;0.0568963
450;450;-0.569071;-0.455257
450;450;0.569053;-0.0569053
450;450;-0.113839;-0.0569197
450;450;-0.284571;0.170743
450;450;0.113821;0.227643
450;450;0.796825;-0.28458
450;450;-0.910427;0.625918
450;450;0.511791;-5.68434e-14
