target.x;target.y;delta.x;delta.y
450;450;-1.13789;0.568945
450;450;0.739839;-0.512196
450;450;0.739839;-0.512196
450;450;0.739839;-0.512196
450;450;-0.569143;-0.3984
450;450;-0.569143;-0.3984
450;450;-1.13832;0.341496
450;450;-1.13832;0.341496
450;450;0.853525;0.796623
450;450;0.853525;0.796623
450;450;0.853525;0.796623
450;450;-0.455213;-0.68282
450;450;-0.455213;-0.68282
450;450;-0.455213;-0.68282
450;450;-0.739839;-0.0569107
450;450;-0.739839;-0.0569107
450;450;-0.739839;-0.0569107
450;450;-0.739839;-0.0569107
450;450;-0.739839;-0.0569107
450;450;0.284445;-0.739558
450;450;0.284445;-0.739558
450;450;0.170656;-1.08082
450;450;0.0568747;-5.68434e-14
450;450;0.0568747;-5.68434e-14
450;450;0.170619;0.227492
450;450;0.170619;0.227492
450;450;0.170619;0.227492
450;450;0.170619;0.227492
450;450;0.113739;0.284347
450;450;0.113739;0.284347
450;450;-0.227535;0.284418
450;450;-0.227535;0.284418
450;450;-1.02391;0.227535
450;450;-1.02391;0.227535
450;450;1.53571;-0.284391
450;450;1.53571;-0.284391
450;450;1.53571;-0.284391
450;450;-0.511872;-0.796246
450;450;0.398135;0.113753
450;450;0.398135;0.113753
450;450;0.853067;0.568711
450;450;0.853067;0.568711
450;450;-0.284311;0.511759
450;450;-0.454868;0.454868
450;450;-0.511791;-0.682389
450;450;-0.398161;-0.910082
450;450;-0.170678;0.227571
450;450;-0.170678;0.227571
450;450;0.0568891;0.512002
450;450;0.568783;-5.68434e-14
450;450;0.568783;-5.68434e-14
450;450;0.284454;-0.284454
450;450;0.398312;-0.512115
450;450;0.398312;-0.512115
450;450;-0.85366;-5.68434e-14
450;450;-0.85366;-5.68434e-14
450;450;0.398337;0.455242
450;450;0.398337;0.455242
450;450;0.398337;0.455242
450;450;0.170716;0.398337
450;450;0.170716;0.398337
450;450;0.113789;0.0568945
450;450;0.113789;0.0568945
450;450;-0.113775;-0.0568873
450;450;-0.113775;-0.0568873
450;450;-0.91034;-0.0568963
450;450;-0.91034;-0.0568963
450;450;-0.91034;-0.0568963
450;450;-5.68434e-14;-0.398211
450;450;-5.68434e-14;-0.398211
450;450;0.11376;-0.455041
450;450;0.11376;-0.455041
450;450;-0.0568711;-0.341227
450;450;-0.0568711;-0.341227
450;450;-0.0568711;-0.341227
450;450;0.967053;0.739511
450;450;0.967053;0.739511
450;450;0.967053;0.739511
450;450;-0.341378;-0.170689
450;450;-0.341378;-0.170689
450;450;-0.512164;-0.455257
450;450;-0.512164;-0.455257
450;450;0.512309;0.227693
450;450;0.853687;0.739862
450;450;0.284544;0.853633
450;450;0.284544;0.853633
450;450;-5.68434e-14;0.0569125
450;450;-0.0569197;-0.341518
450;450;-0.0569197;-0.341518
450;450;-0.0569197;-0.341518
450;450;-0.96791;-0.227743
450;450;-0.96791;-0.227743
450;450;-0.96791;-0.227743
450;450;0.854308;-0.0569539
450;450;0.854308;-0.0569539
450;450;0.854308;-0.0569539
450;450;-1.13911;0.170867
450;450;-1.13911;0.170867
450;450;0.854335;0.341734
450;450;0.854335;0.341734
450;450;1.42367;0.113893
450;450;1.42367;0.113893
450;450;-0.569323;0.398526
450;450;-0.569323;0.398526
450;450;-0.569323;0.398526
450;450;0.910772;-0.0569233
450;450;0.910772;-0.0569233
450;450;-0.341507;-0.284589
450;450;-0.341507;-0.284589
450;450;-0.341507;-0.284589
450;450;0.626097;-0.113836
450;450;1.25219;-0.113836
450;450;-0.682885;-0.284535
450;450;-0.227628;-0.398349
450;450;-0.227628;-0.398349
450;450;-0.227628;-0.398349
450;450;-0.455314;0.170743
450;450;-1.25239;0.170781
450;450;-1.25239;0.170781
450;450;0.0569215;0.455372
450;450;0.0569215;0.455372
450;450;1.25243;0.227715
450;450;1.25243;0.227715
450;450;-1.1389;0.284724
450;450;-1.1389;0.284724
450;450;0.740377;-0.398665
450;450;0.740377;-0.398665
450;450;0.797228;-0.854173
450;450;-0.284688;-0.854065
450;450;-0.284688;-0.854065
450;450;-0.796674;0.625958
450;450;-0.910312;0.853417
450;450;-0.910312;0.853417
450;450;0.568747;0.341248
450;450;1.08045;-0.625523
450;450;1.08045;-0.625523
450;450;-0.795969;-0.852824
450;450;-1.64885;-0.34114
450;450;-1.64885;-0.34114
450;450;0.795919;0.397959
450;450;0.0568478;0.170543
450;450;0.0568478;0.170543
450;450;-1.07997;0.511565
450;450;1.30779;0.113721
450;450;-0.398085;0.227477
450;450;-1.13749;-0.284374
450;450;-1.13749;-0.284374
450;450;0.398186;-0.910139
450;450;1.25124;0.227499
450;450;1.25124;0.227499
450;450;-1.08082;0.284427
450;450;-1.08082;0.284427
450;450;1.25156;-5.68434e-14
450;450;-0.28449;-0.170694
450;450;-1.47954;-0.625958
450;450;0.341507;-0.455343
450;450;0.626097;-0.284589
450;450;0.341464;0.569107
450;450;-0.739675;1.13796
450;450;-0.739675;1.13796
450;450;0.398324;-1.53639
450;450;0.569017;1.59325
450;450;0.227657;-0.853714
450;450;0.227657;-0.853714
450;450;0.170748;0.227664
450;450;0.170748;0.227664
450;450;0.170748;0.227664
450;450;-0.569017;0.34141
450;450;-0.17064;-0.2844
450;450;-0.17064;-0.2844
450;450;0.511986;-0.341324
450;450;-0.398312;0.113803
450;450;-0.398312;0.113803
450;450;0.796196;0.398098
450;450;0.113757;0.398148
450;450;-0.909995;-5.68434e-14
450;450;-0.909995;-5.68434e-14
450;450;-0.909995;-5.68434e-14
450;450;-0.113717;-0.511727
450;450;0.397846;-0.227341
450;450;0.397846;-0.227341
450;450;0.397846;-0.227341
450;450;1.3637;-0.227283
450;450;-1.42057;-0.170468
450;450;0.0568298;0.170489
450;450;0.625167;-0.227334
450;450;0.909277;-0.170489
450;450;0.340957;-5.68434e-14
450;450;-0.113663;-0.284158
450;450;0.284185;-0.397859
450;450;-0.341022;0.511533
450;450;-1.53503;0.397972
450;450;0.568567;0.568567
450;450;0.568567;0.568567
450;450;0.568567;0.568567
450;450;-0.739301;-0.113739
450;450;-0.739301;-0.113739
450;450;0.511775;-0.227456
450;450;-0.454911;-0.568639
450;450;-0.682302;-0.341151
450;450;0.284239;-0.113696
450;450;0.284239;-0.113696
450;450;1.64879;0.284275
450;450;-1.25069;0.625345
450;450;0.397846;1.02303
450;450;0.454624;-0.85242
450;450;-0.966076;-0.681936
450;450;-0.966076;-0.681936
450;450;-0.966076;-0.681936
450;450;0.511501;-0.0568334
450;450;-0.511694;-1.1371
450;450;-0.511646;1.19384
450;450;0.170554;-0.170554
450;450;1.25077;-0.568531
450;450;1.25077;-0.568531
450;450;-0.68213;1.08004
450;450;-0.68213;1.08004
450;450;-0.68213;1.08004
450;450;0.909593;-0.511646
450;450;-0.625325;-0.625325
450;450;-0.966351;-0.511598
450;450;-0.0568406;-0.170522
450;450;0.397859;0.056837
450;450;1.36456;0.0568567
450;450;1.36456;0.0568567
450;450;-0.852824;0.284275
450;450;-0.852824;0.284275
450;450;-0.852824;0.284275
450;450;-0.454854;0.227427
450;450;-1.08052;0.284347
450;450;0.0568729;0.454983
450;450;0.0568729;0.454983
450;450;1.47823;-0.682259
450;450;1.47823;-0.682259
450;450;-0.45484;-0.397985
450;450;-0.45484;-0.397985
450;450;-0.45484;-0.397985
450;450;1.64874;0.113706
450;450;1.64874;0.113706
450;450;1.64874;0.113706
450;450;0.454696;-5.68434e-14
450;450;-0.284275;0.170565
450;450;-1.02349;-0.227441
450;450;0.511694;0.397985
450;450;0.511694;0.397985
450;450;-0.511565;0.227362
450;450;-0.909421;-0.113678
450;450;0.170511;-0.170511
450;450;0.738904;-0.227355
450;450;0.341043;-0.568406
450;450;-1.42052;-0.454567
450;450;-1.42052;-0.454567
450;450;0.511355;-0.0568173
450;450;0.511355;-0.0568173
450;450;-0.227283;0.113642
450;450;-0.227283;0.113642
450;450;-0.682087;0.341043
450;450;0.454782;0.170543
450;450;0.454782;0.170543
450;450;1.25049;-0.170522
450;450;-1.0798;-0.0568316
450;450;-1.0798;-0.0568316
450;450;0.625049;0.113645
450;450;-0.738624;0.113635
450;450;-0.738624;0.113635
450;450;-1.76128;0.340893
450;450;1.13652;0.340957
450;450;-0.795894;0.0568496
450;450;-0.0568657;0.113731
450;450;-0.0568657;0.113731
450;450;-0.0568657;0.113731
450;450;-0.398098;-0.568711
450;450;-0.454969;-0.568711
450;450;-0.454969;-0.568711
450;450;0.398098;-0.454969
450;450;-0.455098;0.227549
450;450;-0.455098;0.227549
450;450;0.170667;0.0568891
450;450;0.511888;0.227506
450;450;0.511888;0.227506
450;450;0.625661;-0.227513
450;450;0.625661;-0.227513
450;450;0.0568693;-0.0568693
450;450;0.0568693;-0.0568693
450;450;0.341108;0.341108
450;450;0.341108;0.341108
450;450;-0.966595;0.966595
450;450;-0.966595;0.966595
450;450;0.625562;-0.454954
450;450;0.853174;-0.398148
450;450;-0.511937;-0.455055
450;450;-0.511937;-0.455055
450;450;-0.511937;-0.455055
450;450;-0.0568585;-0.227434
450;450;-0.0568585;-0.227434
450;450;-0.0568514;0.227405
450;450;-0.0568514;0.227405
450;450;-0.0568514;0.227405
450;450;0.568208;0.284104
450;450;0.568208;0.284104
450;450;0.568208;0.284104
450;450;0.170495;-0.34099
450;450;-0.284131;-0.340957
450;450;-0.341;-0.284167
450;450;-0.795869;-0.454782
450;450;-0.909852;-0.454926
450;450;0.910398;-0.227599
450;450;0.341453;0.227635
450;450;0.341453;0.227635
450;450;-0.398425;0.341507
450;450;-0.853633;0.398362
450;450;0.170737;0.398387
450;450;0.796699;0.341442
450;450;0.796699;0.341442
450;450;0.796699;0.341442
450;450;-0.625879;-0.341388
450;450;-0.625879;-0.341388
450;450;-0.0568963;-0.398274
450;450;-0.0569107;-0.455285
450;450;-0.512245;-0.0569161
450;450;0.22765;0.284562
450;450;0.22765;0.284562
450;450;0.341486;0.3984
450;450;0.341486;0.3984
450;450;0.739558;0.568891
450;450;-0.284427;-0.341313
450;450;-0.625819;-0.398249
450;450;-0.853606;-0.398349
450;450;0.227664;-0.455329
450;450;0.227664;-0.455329
450;450;0.569053;0.569053
450;450;0.0568927;0.625819
450;450;-0.170678;0.512034
450;450;-1.08076;-0.682583
450;450;-1.08076;-0.682583
450;450;-1.08076;-0.682583
450;450;0.909909;-0.454954
450;450;-0.568585;0.568585
450;450;-0.852716;1.02326
450;450;-0.852716;1.02326
450;450;0.738881;-0.852555
450;450;0.795743;-0.909421
450;450;0.113627;0.0568137
450;450;0.113627;0.0568137
450;450;0.511355;0.0568173
450;450;-0.284158;-5.68434e-14
450;450;-0.284158;-5.68434e-14
450;450;-0.454696;0.170511
450;450;-0.454696;0.170511
450;450;-5.68434e-14;0.284149
450;450;-5.68434e-14;0.284149
450;450;0.1705;0.227334
450;450;0.966351;0.341065
450;450;0.966351;0.341065
450;450;0.966351;0.341065
450;450;0.966351;0.341065
450;450;0.966351;0.341065
450;450;0.397985;-5.68434e-14
450;450;0.397985;-5.68434e-14
450;450;0.397985;-5.68434e-14
450;450;0.568783;-1.13757
450;450;0.227463;0.39806
450;450;0.227463;0.39806
450;450;0.227463;0.39806
450;450;-0.113713;0.568567
450;450;-1.08048;-0.113735
450;450;-1.08048;-0.113735
450;450;0.853147;-0.341259
450;450;0.853147;-0.341259
450;450;0.853147;-0.341259
450;450;-0.853013;-0.113735
450;450;-0.853013;-0.113735
450;450;0.568496;-0.170549
450;450;0.568496;-0.170549
450;450;0.568496;-0.170549
450;450;-0.28423;-0.341076
450;450;0.113663;0.284158
450;450;0.1705;0.454667
450;450;0.1705;0.341
450;450;0.170527;0.170527
450;450;-0.227427;0.284284
450;450;-0.852878;0.113717
450;450;0.341151;-0.0568585
450;450;1.42146;0.284293
450;450;-0.909823;-0.0568639
450;450;-1.42182;-0.568729
450;450;0.966809;-0.341227
450;450;-0.170581;-0.454883
450;450;-0.170581;-0.454883
450;450;-0.170581;-0.454883
450;450;1.36392;0.795617
450;450;0.0568262;0.568262
450;450;0.0568262;0.568262
450;450;0.0568262;0.568262
450;450;-0.738484;-0.340839
450;450;-0.227197;-0.454395
450;450;-0.227197;-0.454395
450;450;0.39762;-0.624832
450;450;0.795316;-0.397658
450;450;0.795316;-0.397658
450;450;-0.568244;-0.0568244
450;450;-0.625187;0.454682
450;450;-0.625187;0.454682
450;450;0.11367;0.795693
