target.x;target.y;delta.x;delta.y
450;450;-3.90486;5.0933
450;450;-3.50739;5.26109
450;450;-3.90265;5.37322
450;450;-4.30006;5.43165
450;450;-3.6778;5.26208
450;450;-3.95959;4.97776
450;450;-5.09026;5.20337
450;450;-3.78906;5.03322
450;450;-4.24188;5.14681
450;450;-5.3722;5.42875
450;450;-4.1848;5.42892
450;450;-4.52297;5.14487
450;450;-3.9002;4.74807
450;450;-4.6356;4.91826
450;450;-4.29709;5.1452
450;450;-3.7311;5.42705
450;450;-3.56139;5.0877
450;450;-5.0885;5.54081
450;450;-3.61917;5.3722
450;450;-4.69538;5.37423
450;450;-4.13019;5.48806
450;450;-4.52652;5.48841
450;450;-4.52439;5.37271
450;450;-4.41169;5.42978
450;450;-4.13058;5.60175
450;450;-3.6219;5.37626
450;450;-3.7906;5.71419
450;450;-4.75225;5.82716
450;450;-3.79072;5.71437
450;450;-5.09106;6.27897
450;450;-4.80913;6.05384
450;450;-4.07477;6.11215
450;450;-5.09426;6.22631
450;450;-3.96021;5.82716
450;450;-4.52666;5.82808
450;450;-4.30019;5.65815
450;450;-5.20468;5.48754
450;450;-4.35486;5.03354
450;450;-4.92197;5.0917
450;450;-5.20403;5.37372
450;450;-5.14843;5.77077
450;450;-4.80792;6.27857
450;450;-5.20239;6.38989
450;450;-5.25861;6.33295
450;450;-4.91842;6.10562
450;450;-5.14407;6.10505
450;450;-5.31215;6.21635
450;450;-5.19896;6.27266
450;450;-6.04833;5.93527
450;450;-5.53924;5.48272
450;450;-5.59559;5.53907
450;450;-5.59664;5.70971
450;450;-6.106;5.42756
450;450;-5.42807;5.54116
450;450;-5.99613;5.60016
450;450;-5.65602;5.20354
450;450;-5.20092;4.91826
450;450;-5.14504;4.91888
450;450;-4.24135;4.75031
450;450;-4.97792;5.09106
450;450;-4.58137;5.37322
450;450;-4.63735;5.82497
450;450;-5.03022;5.99105
450;450;-4.46531;5.76533
450;450;-3.90081;5.48375
450;450;-4.24028;5.42756
450;450;-4.01703;5.03544
450;450;-4.52723;4.697
450;450;-4.64085;4.92383
450;450;-4.5278;4.75419
450;450;-4.75494;4.4153
450;450;-4.5288;4.47219
450;450;-4.69907;4.69907
450;450;-5.09666;4.92677
450;450;-4.75718;4.98372
450;450;-4.35952;5.26539
450;450;-4.13331;5.4922
450;450;-4.9823;6.00141
450;450;-4.41308;6.167
450;450;-4.58382;6.05517
450;450;-5.2073;5.77331
450;450;-4.75658;5.26622
450;450;-3.68115;5.26688
450;450;-3.8513;5.66367
450;450;-3.39767;5.66278
450;450;-3.00052;5.71797
450;450;-3.96295;5.66135
450;450;-4.1894;5.4349
450;450;-4.18887;5.66064
450;450;-4.86938;5.94517
450;450;-4.52951;5.66189
450;450;-4.92398;5.60315
450;450;-4.75329;5.54551
450;450;-4.3006;5.09282
450;450;-4.92336;5.3195
450;450;-4.92306;5.71527
450;450;-4.98168;5.83083
450;450;-6.17088;6.00104
450;450;-4.47261;5.77476
450;450;-5.37896;5.71869
450;450;-4.92646;5.71923
450;450;-5.04003;5.71959
450;450;-4.07656;5.32217
450;450;-4.75569;5.37846
450;450;-4.19006;5.66224
450;450;-3.7372;6.11542
450;450;-4.13435;5.94667
450;450;-3.28451;5.9461
450;450;-4.13201;5.60368
450;450;-4.69937;5.49203
450;450;-3.79263;5.71725
450;450;-4.58555;5.71779
450;450;-4.58512;5.49082
450;450;-4.13253;5.37795
450;450;-4.92398;5.48996
450;450;-4.07515;5.09394
450;450;-3.90572;5.20763
450;450;-4.35842;5.66029
450;450;-4.01842;5.65975
450;450;-3.90535;5.49013
450;450;-4.46966;5.43148
450;450;-3.45125;5.71437
450;450;-4.18769;5.54586
450;450;-3.84791;5.20599
450;450;-3.79132;6.39431
450;450;-3.84609;5.88226
450;450;-3.62019;5.14746
450;450;-4.12876;5.65584
450;450;-3.67722;6.16642
450;450;-4.35637;6.44968
450;450;-4.41197;6.84421
450;450;-3.45115;6.50626
450;450;-4.46924;5.88355
450;450;-3.67849;5.20648
450;450;-4.47163;5.60368
450;450;-4.30155;5.99953
450;450;-3.45267;6.05632
450;450;-3.34009;5.94423
450;450;-4.18703;5.99764
450;450;-3.45039;6.10888
450;450;-3.61928;5.82478
450;450;-4.01438;5.88023
450;450;-3.61849;5.99312
450;450;-3.6178;5.76588
450;450;-4.46517;5.82167
450;450;-4.63633;5.65406
450;450;-4.40975;5.54046
450;450;-4.57936;5.82314
450;450;-3.67537;5.71096
450;450;-3.50673;5.37322
450;450;-4.24228;5.7695
450;450;-3.56385;5.77004
450;450;-3.33789;5.37457
450;450;-4.35705;5.60192
450;450;-3.79001;5.31732
450;450;-3.61917;5.2591
450;450;-4.74911;5.31449
450;450;-3.67468;5.20108
450;450;-4.0699;5.93527
450;450;-3.56184;6.5583
450;450;-3.05367;5.99425
450;450;-3.61871;5.5977
450;450;-3.44952;5.9377
450;450;-3.56251;5.99406
450;450;-3.67537;5.82405
450;450;-3.84452;5.65371
450;450;-4.12721;5.4841
450;450;-3.95722;5.48358
450;450;-3.78668;5.53872
450;450;-3.50387;5.6514
450;450;-3.44865;5.7666
450;450;-3.44898;5.7106
450;450;-4.0164;5.4872
450;450;-3.3382;5.54481
450;450;-3.67514;5.7106
450;450;-3.90155;5.71096
450;450;-3.39265;5.76751
450;450;-3.67618;6.05156
450;450;-3.73192;5.65442
450;450;-3.39191;5.70971
450;450;-3.2773;5.76352
450;450;-3.55938;5.7628
450;450;-3.78501;5.76226
450;450;-4.00998;5.2525
450;450;-4.34939;4.85776
450;450;-3.95511;5.14164
450;450;-3.61701;5.369
450;450;-4.18335;5.59664
450;450;-3.84525;5.71132
450;450;-3.67687;5.7133
450;450;-4.07259;5.71294
450;450;-4.18414;5.54116
450;450;-3.73051;5.31315
450;450;-3.78644;5.2558
450;450;-3.61769;5.37001
450;450;-3.16637;5.54116
450;450;-3.6178;5.59629
450;450;-2.99581;5.36984
450;450;-3.67376;5.42586
450;450;-4.29695;5.59735
450;450;-3.67641;5.37322
450;450;-4.46769;5.99462
450;450;-4.52353;6.10677
450;450;-4.07272;5.76968
450;450;-4.80792;5.7695
450;450;-4.07387;5.54499
450;450;-4.3029;5.60509
450;450;-3.9632;5.66171
450;450;-4.35705;5.77168
450;450;-4.69538;6.05308
450;450;-3.62167;5.60227
450;450;-4.18861;5.54708
450;450;-4.52652;5.65815
450;450;-3.84549;5.42892
450;450;-4.24108;5.37203
450;450;-4.40975;5.25778
450;450;-3.67433;5.25712
450;450;-4.24055;5.20174
450;450;-4.41072;5.37203
450;450;-3.61962;5.37288
450;450;-3.50629;5.48565
450;450;-4.35404;5.76769
450;450;-3.95722;5.65318
450;450;-3.33527;5.653
450;450;-4.35267;5.76588
450;450;-3.61871;5.76733
450;450;-3.50354;5.98992
450;450;-4.35062;5.87616
450;450;-4.06837;5.481
450;450;-4.01161;5.59366
450;450;-4.91425;5.30965
450;450;-4.23855;5.14277
450;450;-4.40851;5.2563
