target.x;target.y;delta.x;delta.y
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
480;150;-7;4;off
