target.x;target.y;delta.x;delta.y
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-2;5;off
518;512;-2;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-1;6;off
518;512;-1;5;off
518;512;-1;5;off
518;512;-2;6;off
