target.x;target.y;delta.x;delta.y
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
518;512;-5;-4;on
