target.x;target.y;delta.x;delta.y
450;450;0.121652;-1.94644;off
450;450;0.121656;-2.00733;off
450;450;-0.0607994;-2.18878;off
450;450;-0.243116;-2.3096;off
450;450;-0.121537;-2.18767;off
450;450;-0.121537;-2.18767;off
450;450;-5.68434e-14;-2.18774;off
450;450;0.1823;-2.1876;off
450;450;-0.121525;-2.12669;off
450;450;-0.121525;-2.12669;off
450;450;-0.486116;-2.24829;off
450;450;-0.486116;-2.30905;off
450;450;-0.486116;-2.30905;off
450;450;-0.364661;-2.06641;off
450;450;-0.364636;-2.12705;off
450;450;-0.364636;-2.12705;off
450;450;-0.182324;-1.94479;off
450;450;-0.182324;-1.94479;off
450;450;-0.425337;-2.06592;off
450;450;-0.425337;-2.06592;off
450;450;-0.425337;-2.06592;off
450;450;-0.607563;-1.9442;off
450;450;-0.182263;-2.06565;off
450;450;-0.182263;-2.06565;off
450;450;-0.182263;-2.06565;off
450;450;-0.182355;-1.88434;off
450;450;-0.243173;-1.88459;off
450;450;-0.303915;-2.00584;off
450;450;-0.303874;-2.00557;off
450;450;-0.303884;-1.88408;off
450;450;-0.18238;-1.88459;off
450;450;-0.18238;-1.88459;off
450;450;-0.18238;-1.88459;off
450;450;-0.0608138;-1.70279;off
450;450;-0.0608138;-1.70279;off
450;450;-0.304079;-1.64203;off
450;450;-0.608076;-1.76342;off
450;450;-0.608076;-1.76342;off
450;450;-0.364747;-1.64136;off
450;450;-0.243148;-1.70204;off
450;450;-0.243148;-1.70204;off
450;450;-0.182355;-1.70198;off
450;450;-0.182355;-1.70198;off
450;450;-0.121541;-1.76235;off
450;450;-0.121541;-1.76235;off
450;450;-0.485952;-2.00455;off
450;450;-0.485952;-2.00455;off
450;450;-0.607379;-1.94361;off
450;450;-0.607379;-1.94361;off
450;450;-0.182171;-2.0646;off
450;450;-0.0607276;-1.82183;off
450;450;-0.121459;-1.82189;off
450;450;-0.121459;-1.82189;off
450;450;-0.182128;-1.94269;off
450;450;-0.182109;-1.9425;off
450;450;-0.424936;-2.12468;off
450;450;-0.424921;-2.0639;off
450;450;-0.242829;-2.00334;off
450;450;-0.242829;-2.00334;off
450;450;-0.242829;-2.00334;off
450;450;-0.242829;-2.00334;off
450;450;0.0607092;-2.06411;off
450;450;0.0607092;-2.06411;off
450;450;-0.242837;-2.42837;off
450;450;-0.364292;-2.3679;off
450;450;-0.303607;-2.24669;off
450;450;-0.303607;-2.24669;off
450;450;-0.182195;-2.24707;off
450;450;0.121451;-2.24685;off
450;450;0.121451;-2.24685;off
450;450;-5.68434e-14;-2.18546;off
450;450;-0.121427;-2.24639;off
450;450;-0.121427;-2.24639;off
450;450;-0.364304;-2.36798;off
450;450;-0.485641;-2.48891;off
450;450;-0.364231;-2.30679;off
450;450;-0.364231;-2.30679;off
450;450;-0.12141;-2.3675;off
450;450;-0.12141;-2.3675;off
450;450;-0.728437;-2.61023;off
450;450;-0.728437;-2.61023;off
450;450;-0.97102;-2.79168;off
450;450;-0.970758;-2.91227;off
450;450;-0.970758;-2.91227;off
450;450;-0.970758;-2.91227;off
450;450;-0.666946;-2.84968;off
450;450;-0.667194;-2.54747;off
450;450;-0.667194;-2.54747;off
450;450;-0.606642;-2.42657;off
450;450;-0.182042;-2.4879;off
450;450;-0.182042;-2.4879;off
450;450;-0.364157;-2.24563;off
450;450;-0.364157;-2.24563;off
450;450;-0.364157;-2.24563;off
450;450;-0.364169;-2.24571;off
450;450;-0.364169;-2.24571;off
450;450;-5.68434e-14;-2.0034;off
450;450;-5.68434e-14;-1.88243;off
450;450;-5.68434e-14;-1.88243;off
450;450;-5.68434e-14;-1.88243;off
450;450;0.0607461;-2.00462;off
450;450;0.0607461;-2.00462;off
450;450;0.242992;-2.00469;off
450;450;0.242992;-2.00469;off
450;450;0.0607543;-2.1264;off
450;450;0.0607543;-2.1264;off
450;450;0.0607543;-2.1264;off
450;450;0.121484;-1.883;off
450;450;0.121484;-1.883;off
450;450;0.668184;-1.88306;off
450;450;0.729051;-1.82263;off
450;450;0.729051;-1.82263;off
450;450;0.42538;-1.70152;off
450;450;0.42538;-1.70152;off
450;450;0.42538;-1.70152;off
450;450;0.668477;-1.58004;off
450;450;0.668477;-1.58004;off
450;450;0.668477;-1.58004;off
450;450;0.91193;-1.21591;off
450;450;0.91193;-1.21591;off
450;450;0.972856;-1.27687;off
450;450;0.972856;-1.27687;off
450;450;0.972856;-1.27687;off
450;450;0.972856;-1.27687;off
450;450;0.790472;-1.27692;off
450;450;0.790472;-1.27692;off
450;450;0.790659;-1.15558;off
450;450;0.790659;-1.15558;off
450;450;0.790659;-1.15558;off
450;450;0.730111;-1.03432;off
450;450;0.730111;-1.03432;off
450;450;0.608487;-0.97358;off
450;450;0.608487;-0.97358;off
450;450;0.608426;-0.912639;off
450;450;0.608426;-0.912639;off
450;450;0.608426;-0.912639;off
450;450;0.730382;-1.03471;off
450;450;0.730382;-1.03471;off
450;450;0.730382;-1.03471;off
450;450;0.608858;-0.791515;off
450;450;0.608858;-0.791515;off
450;450;0.608858;-0.791515;off
450;450;0.608858;-0.791515;off
450;450;0.426186;-0.852372;off
450;450;0.426186;-0.852372;off
450;450;0.0608734;-0.973975;off
450;450;-0.0608693;-1.03478;off
450;450;-0.0608693;-1.03478;off
450;450;-0.0608693;-1.03478;off
450;450;0.243535;-1.03502;off
450;450;0.243535;-1.03502;off
450;450;0.243535;-1.03502;off
450;450;0.243535;-1.03502;off
450;450;-0.12173;-1.15644;off
450;450;-0.12173;-1.15644;off
450;450;-0.12173;-1.15644;off
450;450;0.121681;-1.39933;off
450;450;0.121681;-1.39933;off
450;450;0.365043;-1.33849;off
450;450;0.365043;-1.39933;off
450;450;0.365043;-1.39933;off
450;450;0.304192;-1.46012;off
450;450;0.304192;-1.46012;off
450;450;0.121693;-1.46032;off
450;450;0.121693;-1.46032;off
450;450;0.121693;-1.46032;off
450;450;0.0608405;-1.46017;off
450;450;0.0608405;-1.46017;off
450;450;0.0608405;-1.46017;off
450;450;0.547546;-1.46012;off
450;450;0.547546;-1.46012;off
450;450;0.364895;-1.5204;off
450;450;0.182411;-1.58089;off
450;450;0.182411;-1.58089;off
450;450;0.0608015;-1.64164;off
450;450;0.0607871;-1.76283;off
450;450;0.0607871;-1.76283;off
450;450;0.182355;-1.76277;off
450;450;0.303935;-1.76283;off
450;450;0.364735;-1.82367;off
450;450;0.364735;-1.82367;off
450;450;0.425553;-1.88459;off
450;450;0.425553;-1.88459;off
450;450;0.425553;-1.88459;off
450;450;0.182294;-1.94446;off
450;450;0.182294;-1.94446;off
450;450;0.182287;-1.88364;off
450;450;0.243033;-1.88351;off
450;450;0.243033;-1.88351;off
450;450;0.24296;-1.88294;off
450;450;0.24296;-1.88294;off
450;450;0.24296;-1.88294;off
450;450;0.121504;-1.88332;off
450;450;0.121504;-1.88332;off
450;450;-0.0607358;-1.88281;off
450;450;-0.0607358;-1.88281;off
450;450;-0.242886;-1.88237;off
450;450;-0.242886;-1.88237;off
450;450;0.121443;-1.88237;off
450;450;0.182171;-1.94315;off
450;450;-0.182177;-1.94322;off
450;450;-0.364353;-2.00394;off
450;450;-0.424993;-2.06425;off
450;450;-0.364218;-1.88179;off
450;450;-0.364218;-1.88179;off
450;450;-0.364255;-1.94269;off
450;450;-0.364255;-1.94269;off
450;450;-0.303669;-1.82201;off
450;450;-0.303669;-1.82201;off
450;450;-0.303669;-1.82201;off
450;450;-0.425194;-1.883;off
450;450;-0.425194;-1.883;off
450;450;-0.486001;-1.88326;off
450;450;-0.425294;-1.88345;off
450;450;-0.425294;-1.88345;off
450;450;-0.364513;-1.88332;off
450;450;-0.364513;-1.88332;off
450;450;-0.182269;-1.82269;off
450;450;-0.182269;-1.82269;off
450;450;-0.182269;-1.82269;off
450;450;-0.546881;-1.94446;off
450;450;-0.607666;-1.94453;off
450;450;-0.607666;-1.94453;off
450;450;-0.607666;-1.94453;off
450;450;-0.607666;-1.94453;off
450;450;-0.607666;-1.94453;off
450;450;-0.121484;-1.94374;off
450;450;-0.121484;-1.94374;off
450;450;-0.242984;-1.88313;off
450;450;-0.121504;-1.94407;off
450;450;-0.121504;-1.94407;off
450;450;-0.121504;-1.94407;off
450;450;0.1823;-2.0053;off
450;450;0.1823;-2.0053;off
450;450;-0.121554;-2.12719;off
450;450;-0.121554;-2.12719;off
450;450;-0.121554;-2.12719;off
450;450;-0.0607727;-2.12705;off
450;450;-0.0607727;-2.12705;off
450;450;-0.0607727;-2.12705;off
450;450;-0.182318;-2.24859;off
450;450;-0.182318;-2.24859;off
450;450;0.121558;-2.18804;off
450;450;0.121558;-2.18804;off
450;450;0.243148;-2.12755;off
450;450;0.243148;-2.12755;off
450;450;0.243148;-2.12755;off
450;450;-0.243148;-2.00597;off
450;450;-0.243148;-2.00597;off
450;450;-0.243148;-2.00597;off
450;450;-5.68434e-14;-2.12762;off
450;450;-5.68434e-14;-2.12762;off
450;450;-5.68434e-14;-2.12733;off
450;450;-5.68434e-14;-2.12733;off
450;450;0.121545;-2.06627;off
450;450;0.121545;-2.06627;off
450;450;0.121545;-2.06627;off
450;450;0.182367;-2.18841;off
450;450;0.182367;-2.18841;off
450;450;-0.303987;-2.1887;off
450;450;-0.364784;-2.3103;off
450;450;-0.364784;-2.3103;off
450;450;-0.243148;-2.30991;off
450;450;-0.243148;-2.30991;off
450;450;-5.68434e-14;-2.24889;off
450;450;-5.68434e-14;-2.24889;off
450;450;0.243116;-2.3096;off
450;450;0.303915;-2.18819;off
450;450;0.303915;-2.18819;off
450;450;0.243091;-2.30936;off
450;450;-0.0607748;-2.43099;off
450;450;-0.0607748;-2.43099;off
450;450;-0.0607748;-2.43099;off
450;450;-0.182306;-2.18767;off
450;450;0.0607748;-2.24867;off
