target.x;target.y;delta.x;delta.y
450;450;-0.516096;-1.4336
450;450;1.02931;-0.400286
450;450;-0.85953;-0.802228
450;450;-1.08777;-0.114502
450;450;-0.285329;-1.19838
450;450;-1.19922;-2.45554
450;450;-2.28553;0.171415
450;450;1.08453;-0.0570803
450;450;0.171666;-0.62944
450;450;-2.22747;1.02806
450;450;-1.7136;-1.99921
450;450;1.02901;-0.628841
450;450;-1.08843;-5.68434e-14
450;450;1.94554;-2.28887
450;450;-0.5724;-0.858601
450;450;2.91924;-1.94616
450;450;0.343037;0.6289
450;450;0.628262;-2.74151
450;450;0.742515;-1.14233
450;450;0.973483;-1.94697
450;450;-0.688237;1.95001
450;450;-1.08843;0.114571
450;450;-2.22359;0.798213
450;450;1.7687;-0.513495
450;450;-0.685007;-1.14168
450;450;-0.11432;0.34296
450;450;-1.42751;3.48311
450;450;1.82756;-0.799555
450;450;0.343495;0.114498
450;450;-0.515439;-0.916336
450;450;-0.0570351;-2.45251
450;450;-1.08652;-1.14371
450;450;-0.74386;-0.91552
450;450;0.228068;2.16665
450;450;-2.65015;-0.864179
450;450;0.114615;-0.286537
450;450;-0.171906;1.71906
450;450;-0.458489;0.802356
450;450;2.41237;-1.89543
450;450;-0.97491;1.37634
450;450;-1.60783;-0.287113
450;450;-0.057271;-0.744523
450;450;2.17678;0.630121
450;450;1.03055;0.114506
450;450;1.83688;-2.69792
450;450;1.89066;0.973979
450;450;0.688698;-1.3774
450;450;-1.60968;-1.37973
450;450;0.287434;-2.01204
450;450;-0.801361;-1.60272
450;450;0.343637;1.14546
450;450;-0.287306;-0.0574611
450;450;0.229764;-1.14882
450;450;0.400897;-0.229084
450;450;2.41083;0.516606
450;450;1.94876;1.49023
450;450;2.01984;-1.03878
450;450;-2.41468;1.14985
450;450;-0.114761;-0.688566
450;450;-1.60681;0.401702
450;450;1.0933;-0.230168
450;450;-1.72609;0.920583
450;450;1.78369;-0.978151
450;450;1.26233;1.95088
450;450;-0.971752;-1.2004
450;450;-0.0572892;0.229157
450;450;-0.343331;-1.25888
450;450;0.286082;-1.88814
