target.x;target.y;delta.x;delta.y
450;450;0.398589;-0.626354
450;450;0.341712;-0.740377
450;450;-0.227844;-0.626572
450;450;-0.227837;-0.626552
450;450;0.51265;-0.797455
450;450;0.968063;-0.740283
450;450;0.626275;-0.398538
450;450;0.626275;-0.398538
450;450;0.626275;-0.398538
450;450;1.02468;-0.683122
450;450;1.02468;-0.683122
450;450;0.455329;-0.739909
450;450;0.455329;-0.739909
450;450;1.25231;-0.683079
450;450;1.25231;-0.683079
450;450;1.25231;-0.683079
450;450;1.13821;-0.796749
450;450;1.13821;-0.796749
450;450;1.13821;-0.796749
450;450;-5.68434e-14;-0.796548
450;450;-5.68434e-14;-0.796548
450;450;-5.68434e-14;-0.796548
450;450;0.967237;-0.739652
450;450;0.967237;-0.739652
450;450;1.1376;-0.853201
450;450;1.1376;-0.853201
450;450;0.227513;-0.68254
450;450;0.227513;-0.68254
450;450;0.227513;-0.68254
450;450;0.682669;-0.796447
450;450;0.682669;-0.796447
450;450;0.227592;-0.796573
450;450;0.170705;-0.68282
450;450;0.170705;-0.68282
450;450;0.625839;-0.739628
450;450;0.625839;-0.739628
450;450;0.739675;-0.796573
450;450;0.739675;-0.796573
450;450;0.227679;-0.455357
450;450;0.284634;-0.512342
450;450;0.284634;-0.512342
450;450;0.284634;-0.512342
450;450;0.28467;-0.455473
450;450;-0.569197;-0.284598
450;450;-0.569197;-0.284598
450;450;-0.569197;-0.284598
450;450;-0.398236;0.113782
450;450;-0.170619;0.0568729
450;450;-0.170619;0.0568729
450;450;-0.0568711;0.113742
450;450;-0.0568711;0.113742
450;450;-0.682604;-0.284418
450;450;-0.682604;-0.284418
450;450;-0.682604;-0.284418
450;450;-0.568801;-0.341281
450;450;-0.568801;-0.341281
450;450;-0.568801;-0.341281
450;450;-5.68434e-14;-0.568927
450;450;-5.68434e-14;-0.568927
450;450;0.113778;-0.512002
450;450;0.113778;-0.512002
450;450;0.0568891;-0.682669
450;450;0.0568891;-0.682669
450;450;0.0568891;-0.682669
450;450;-0.0568819;-0.796346
450;450;-0.0568819;-0.796346
450;450;-0.0568819;-0.796346
450;450;0.0569071;-0.853606
450;450;0.0569071;-0.853606
450;450;0.170737;-0.739862
450;450;0.170737;-0.739862
450;450;0.170737;-0.739862
450;450;0.227549;-0.455098
450;450;0.227549;-0.455098
450;450;0.113764;-0.227528
450;450;0.113764;-0.227528
450;450;0.113757;-0.34127
450;450;0.113757;-0.34127
450;450;0.227513;-0.113757
450;450;0.227513;-0.113757
450;450;0.227513;-0.113757
450;450;0.0568514;-0.113703
450;450;-5.68434e-14;-0.454897
450;450;-0.170613;-0.454969
450;450;-0.511953;-0.625721
450;450;-0.45507;-0.796372
450;450;-0.227585;-0.739652
450;450;0.0569035;-0.625938
450;450;0.0569071;-0.796699
450;450;0.0569071;-0.796699
450;450;0.113785;-0.739605
450;450;-5.68434e-14;-0.796472
450;450;-5.68434e-14;-0.796472
450;450;-5.68434e-14;-0.796472
450;450;0.28449;-0.625879
450;450;0.28449;-0.625879
450;450;0.28449;-0.625879
450;450;0.284535;-0.512164
450;450;0.284535;-0.512164
450;450;0.398287;-0.568981
450;450;0.398287;-0.568981
450;450;0.341475;-0.512212
450;450;0.341475;-0.512212
450;450;0.341475;-0.512212
450;450;-0.4553;-0.68295
450;450;-0.4553;-0.68295
450;450;-0.0569215;-0.512293
450;450;0.17077;-0.683079
450;450;0.17077;-0.683079
450;450;0.284616;-0.569233
450;450;0.0569161;-0.512245
450;450;-0.455314;-0.739885
450;450;-0.626057;-0.853714
450;450;-0.455314;-0.7968
450;450;-5.68434e-14;-0.739792
450;450;0.398299;-0.625899
450;450;0.512115;-0.512115
450;450;0.398299;-0.455199
450;450;0.17071;-0.512131
450;450;0.113807;-0.341421
450;450;0.113807;-0.341421
450;450;0.51184;-0.113742
450;450;0.51184;-0.113742
450;450;0.284338;-0.113735
450;450;0.284338;-0.113735
450;450;0.0568621;-0.113724
450;450;0.0568621;-0.113724
450;450;-0.227413;-0.170559
450;450;-0.227413;-0.170559
450;450;-0.170543;-0.0568478
450;450;-0.284311;-5.68434e-14
450;450;-0.284311;-5.68434e-14
450;450;-5.68434e-14;-0.0568585
450;450;-5.68434e-14;-0.0568585
450;450;-5.68434e-14;-0.0568585
450;450;-0.113699;0.170549
450;450;-0.113699;0.170549
450;450;0.113667;0.284167
450;450;0.113667;0.284167
450;450;0.113667;0.284167
450;450;-0.340957;0.113652
450;450;-5.68434e-14;0.170473
450;450;-5.68434e-14;0.170473
450;450;-0.170484;0.056828
450;450;-0.113667;-0.0568334
450;450;0.170522;-0.170522
450;450;-0.0568334;-0.284167
450;450;-0.0568334;-0.284167
450;450;-0.0568334;-0.284167
450;450;0.056837;-0.454696
450;450;0.113685;-0.454739
450;450;0.113696;-0.51163
450;450;0.341043;-0.738928
450;450;-0.0568514;-0.795919
450;450;-5.68434e-14;-0.852689
450;450;0.227413;-0.852797
450;450;0.397997;-0.909708
450;450;0.397997;-0.909708
450;450;0.0568549;-0.909679
450;450;0.170603;-0.853013
450;450;0.398161;-0.910082
450;450;0.0568801;-0.853201
450;450;-5.68434e-14;-0.796145
450;450;0.170619;-0.853094
450;450;0.341237;-0.966839
450;450;0.284311;-0.909794
450;450;0.284248;-0.909593
450;450;0.397897;-1.02316
450;450;0.511468;-1.02294
450;450;0.454624;-1.07973
450;450;0.454624;-1.07973
450;450;0.284131;-1.0797
450;450;0.284131;-1.0797
450;450;0.568244;-1.30696
450;450;0.568244;-1.30696
450;450;0.568244;-1.30696
450;450;0.454653;-1.0798
450;450;0.454653;-1.0798
450;450;1.02313;-1.13681
450;450;1.02313;-1.13681
450;450;1.02313;-1.13681
450;450;0.284329;-1.13731
450;450;0.284329;-1.13731
450;450;0.909794;-1.13724
450;450;0.739184;-0.966626
450;450;1.02349;-1.02349
450;450;1.1941;-1.08038
450;450;0.625602;-1.02371
450;450;0.511969;-1.08082
450;450;0.853282;-1.08082
450;450;1.08089;-1.08089
450;450;1.02397;-0.967084
450;450;0.966839;-0.966839
450;450;0.966839;-0.966839
450;450;0.455012;-0.9669
450;450;0.170592;-1.02355
450;450;0.511743;-0.966626
450;450;0.511743;-0.966626
450;450;0.511775;-0.682367
450;450;0.511775;-0.682367
450;450;0.853067;-0.625582
450;450;0.853067;-0.625582
450;450;0.227549;-0.62576
450;450;0.227549;-0.62576
450;450;0.455055;-0.682583
450;450;0.341259;-0.568765
450;450;0.341259;-0.568765
450;450;0.62578;-0.739558
450;450;0.62578;-0.739558
450;450;0.62578;-0.739558
450;450;-5.68434e-14;-0.682734
450;450;0.113782;-0.682691
450;450;0.113782;-0.682691
450;450;0.113782;-0.682691
450;450;0.568855;-0.455084
450;450;0.739535;-0.568873
450;450;0.910283;-0.512034
450;450;0.227542;-0.511969
450;450;0.170646;-0.511937
450;450;0.170646;-0.511937
450;450;0.796346;-0.341291
450;450;1.08079;-0.398186
450;450;0.910283;-0.113785
450;450;0.512115;-0.284508
450;450;0.512115;-0.284508
450;450;0.455185;-0.28449
450;450;0.455185;-0.28449
450;450;0.796573;-0.170694
450;450;1.02433;-0.227628
450;450;1.02433;-0.227628
450;450;0.967451;-0.170727
450;450;0.967451;-0.170727
450;450;0.284526;-0.284526
450;450;-0.113807;-0.341421
450;450;-0.0568999;-0.455199
450;450;0.398224;-0.341334
450;450;0.284454;-0.341345
450;450;-0.227542;-0.341313
450;450;-0.227564;-0.227564
450;450;-0.113789;-0.227578
450;450;-0.170678;-0.341356
450;450;-0.113796;-0.341388
450;450;-0.113793;-0.341378
450;450;-5.68434e-14;-0.341291
450;450;-5.68434e-14;-0.341291
450;450;-0.0568514;-0.568514
450;450;0.0568549;-0.45484
450;450;0.113706;-0.454825
450;450;0.0568531;-0.682238
450;450;0.284221;-0.568442
450;450;0.284221;-0.568442
450;450;0.284221;-0.568442
450;450;0.682022;-0.568352
450;450;0.568406;-0.511565
450;450;0.568424;-0.511581
450;450;0.625306;-0.511614
450;450;0.511711;-0.511711
450;450;0.511711;-0.511711
450;450;0.511711;-0.511711
450;450;0.568585;-0.625444
450;450;0.739231;-0.625503
450;450;0.739231;-0.625503
450;450;0.739231;-0.625503
450;450;0.625503;-0.739231
450;450;0.625503;-0.739231
450;450;0.739231;-0.739231
450;450;0.796196;-0.682453
450;450;0.796196;-0.682453
450;450;0.625661;-0.739418
450;450;0.625661;-0.739418
450;450;0.625661;-0.739418
450;450;0.739254;-0.568657
450;450;0.625523;-0.39806
450;450;0.511727;-0.284293
450;450;0.284266;-0.227413
450;450;0.341108;-0.227405
450;450;0.625345;-0.227398
450;450;0.682195;-0.227398
450;450;0.682195;-0.227398
450;450;0.682195;-0.227398
450;450;0.682216;-0.227405
450;450;0.625483;-0.341173
450;450;0.625464;-0.284302
450;450;0.625464;-0.284302
450;450;0.852878;-0.511727
450;450;0.90965;-0.454825
450;450;0.682152;-0.28423
450;450;0.682152;-0.28423
450;450;0.682152;-0.28423
450;450;0.739021;-0.341087
450;450;0.739021;-0.341087
450;450;0.284248;-0.341097
450;450;0.284248;-0.341097
450;450;0.284248;-0.341097
450;450;0.511678;-0.113706
450;450;0.341184;-0.113728
450;450;0.227434;0.0568585
450;450;0.227434;0.0568585
450;450;-0.170586;-0.284311
450;450;-0.227441;-0.284302
450;450;-0.170533;-0.454753
450;450;-0.170533;-0.454753
450;450;-0.170533;-0.454753
450;450;-0.284275;-0.682259
450;450;-0.284275;-0.682259
450;450;-0.170597;-0.79612
450;450;-0.284382;-0.796271
450;450;-0.113764;-0.682583
450;450;0.227549;-0.568873
450;450;0.227528;-0.568819
450;450;-5.68434e-14;-0.682734
450;450;-0.0568909;-0.682691
450;450;0.170656;-0.739511
450;450;0.569035;-0.625938
450;450;0.739862;-0.512212
450;450;0.739862;-0.512212
450;450;0.284634;-0.740049
450;450;0.284634;-0.740049
450;450;0.455242;-0.96739
450;450;0.455242;-0.96739
450;450;0.796699;-0.796699
450;450;0.739722;-0.739722
450;450;0.227564;-0.682691
450;450;0.227571;-0.682712
450;450;0.227571;-0.682712
450;450;-0.0568837;-0.625721
450;450;0.113746;-0.682475
450;450;0.170619;-0.625602
450;450;0.170619;-0.625602
450;450;0.170619;-0.625602
450;450;-0.113696;-0.682173
450;450;-0.113696;-0.682173
450;450;-0.284212;-0.738951
450;450;0.0568406;-0.852609
450;450;0.0568406;-0.852609
450;450;0.625246;-0.852609
450;450;0.682108;-0.738951
450;450;0.682108;-0.738951
450;450;0.568388;-0.738904
